Christopher Nolan's, 2, 1, 0, 14, 0, 0, 1
Christian Bale, 2, 1, 0, 7, 0, 0, 1
Alfred, 1, 1, 8, 16, 0, 0, 1
Michael  Cane, 2, 1, 12, 16, 0, 1, 1
Heath Ledger, 2, 1, 8, 15, 0, 1, 1
Jack  Nicholson, 2, 1, 9, 22, 1, 1, 1
Ledger, 1, 1, 17, 26, 0, 1, 1
Aaron Eckhart, 2, 1, 11, 13, 0, 1, 1
Maggie Gyllenhaal, 2, 1, 0, 4, 1, 0, 1
Katie Holmes, 2, 1, 6, 8, 0, 0, 1
Gyllenhaal, 1, 1, 0, 21, 0, 0, 1
Bale, 1, 1, 0, 14, 1, 0, 1
Gyllenhall, 1, 1, 2, 14, 0, 1, 1
Holmes, 1, 1, 13, 14, 0, 0, 1
Jonathan Nolan, 2, 1, 5, 7, 0, 0, 1
Christopher Nolan, 2, 1, 2, 4, 0, 0, 1
Christian Bale, 2, 1, 0, 2, 0, 0, 1
Heath Ledger, 2, 1, 2, 19, 0, 0, 1
Nolan's, 1, 1, 0, 6, 0, 0, 1
Ledger's, 1, 1, 9, 11, 0, 0, 1
Heath Ledger, 2, 1, 14, 29, 1, 0, 1
Matilda  Ledger, 2, 1, 10, 12, 0, 0, 1
Heath Ledger, 2, 1, 0, 3, 0, 0, 1
Bourne, 1, 1, 2, 4, 0, 0, 1
Matt Damon, 2, 1, 11, 13, 0, 0, 1
Ben Afleck, 2, 1, 11, 63, 0, 1, 1
Jason Bourne, 2, 1, 0, 2, 0, 0, 1
Jack Reacher, 2, 1, 5, 8, 0, 0, 1
Cruise, 1, 1, 3, 8, 0, 0, 1
Cruise, 1, 1, 2, 4, 0, 0, 1
Dean Devlin, 2, 1, 2, 18, 1, 0, 1
Roland Emmerich's, 2, 1, 5, 18, 0, 1, 1
Antoine Fuqua's, 2, 1, 0, 28, 1, 0, 1
Denzel Washington's, 2, 1, 3, 28, 0, 1, 1
Denzel Washington, 2, 1, 1, 25, 1, 0, 1
Chloe Grace Moretz, 3, 1, 4, 25, 0, 1, 1
Fuqua's, 1, 1, 1, 7, 0, 0, 1
Will Smith, 2, 1, 0, 10, 1, 0, 1
Robert Neville, 2, 1, 0, 4, 1, 0, 1
Tom Hanks, 2, 1, 5, 10, 0, 0, 1
Sam, 1, 1, 9, 10, 0, 0, 1
Robert, 1, 1, 0, 3, 1, 0, 1
Robert's, 1, 1, 13, 20, 0, 1, 1
Johanssen, 1, 1, 0, 8, 1, 0, 1
Reese Witherspoon, 2, 1, 5, 16, 0, 0, 1
Jessica Alba, 2, 1, 8, 16, 0, 0, 1
Jessica Simpson, 2, 1, 14, 16, 0, 0, 1
Murray, 1, 1, 0, 6, 1, 0, 1
Charlotte, 1, 1, 17, 18, 0, 1, 1
Arnold Schwarzenegger's, 2, 1, 13, 22, 0, 1, 1
K (Jones)'s, 2, 0, 1, 5, 0, 0, 1
Will Smith, 2, 1, 2, 20, 0, 0, 1
Barry Sonnenfeld's, 2, 1, 0, 18, 0, 0, 1
Sonnenfeld's, 1, 1, 7, 9, 0, 1, 1
Danny Elfman, 2, 1, 5, 7, 0, 1, 1
Tommy Lee Jones’, 3, 1, 5, 23, 0, 0, 1
Will Smith's, 2, 1, 11, 23, 0, 1, 1
Vincent D'Onofrio, 2, 1, 0, 19, 1, 0, 1
Ron, 1, 1, 2, 5, 1, 0, 1
Hermione, 1, 1, 4, 5, 0, 1, 1
Kevin Spacey, 2, 1, 1, 13, 0, 0, 1
Jennifer Aniston, 2, 1, 0, 8, 0, 0, 1
Charlie Day, 2, 1, 0, 4, 1, 0, 1
Henry Roth, 2, 1, 7, 23, 0, 0, 1
Lucy Whitmore, 2, 1, 3, 5, 0, 0, 1
Henry, 1, 1, 1, 3, 0, 1, 1
Lucy, 1, 1, 7, 8, 0, 1, 1
Henry's, 1, 1, 0, 12, 0, 0, 1
Lucy, 1, 1, 11, 12, 0, 1, 1
Ritchie, 1, 1, 1, 9, 1, 1, 1
Ritchie, 1, 1, 9, 23, 0, 0, 1
Quentin Tarantino, 2, 1, 20, 25, 0, 0, 1
Alfred Hitchcock, 2, 1, 6, 8, 0, 0, 1
Bart, 1, 1, 7, 25, 0, 0, 1
Flanders, 1, 1, 20, 25, 0, 0, 1
Maude, 1, 1, 0, 1, 0, 0, 1
Jimmy Stewart, 2, 1, 0, 2, 0, 0, 1
Grace Kelly, 2, 1, 0, 2, 0, 0, 1
Liza, 1, 1, 1, 2, 0, 0, 1
Liza, 1, 1, 5, 6, 0, 1, 1
Chris Pratt, 2, 1, 0, 26, 1, 0, 1
Bryce Dallas Howard, 3, 1, 3, 26, 0, 1, 1
Sam Neill, 2, 1, 16, 26, 1, 1, 1
Laura Dern, 2, 1, 19, 26, 0, 1, 1
Nick Robinson, 2, 1, 4, 13, 1, 0, 1
Ty Simpkins, 2, 1, 7, 13, 0, 1, 1
Colin Trevorrow, 2, 1, 0, 18, 1, 0, 1
Po, 1, 1, 1, 2, 0, 0, 1
Shifu, 1, 1, 0, 3, 1, 0, 1
Oogway, 1, 1, 2, 3, 0, 1, 1
Samurai Jack, 2, 1, 7, 9, 0, 0, 1
Ridley Scott, 2, 1, 5, 18, 0, 0, 1
Indiana Jones, 2, 1, 0, 6, 1, 0, 1
Cage, 1, 1, 4, 6, 0, 0, 1
Ben Gates, 2, 1, 12, 20, 0, 1, 1
Riley, 1, 1, 2, 3, 0, 1, 1
Ridley Scott's, 2, 1, 1, 4, 0, 0, 1
Russel Crowe, 2, 1, 0, 27, 1, 0, 1
Crowe, 1, 1, 0, 10, 0, 0, 1
Connie Neilsen, 2, 1, 2, 4, 0, 0, 1
Jacquin Phoenix, 2, 1, 0, 10, 0, 0, 1
Phoenix, 1, 1, 0, 10, 0, 0, 1
Maximus’, 1, 1, 1, 10, 0, 1, 1
Scott's, 1, 1, 0, 18, 0, 0, 1
Crowe, 1, 1, 0, 12, 0, 0, 1
Liam Neeson, 2, 1, 15, 28, 0, 0, 1
Keanu Reeves, 2, 1, 18, 28, 1, 0, 1
John Wick, 2, 1, 0, 18, 0, 0, 1
John Wick, 2, 1, 0, 10, 0, 0, 1
John Wick, 2, 1, 0, 6, 0, 0, 1
John McClane, 2, 1, 14, 23, 0, 0, 1
John Wick, 2, 1, 0, 6, 0, 0, 1
John Wick, 2, 1, 3, 27, 1, 0, 1
John Wick, 2, 1, 23, 27, 1, 0, 1
Bruce Willis, 2, 1, 6, 13, 1, 0, 1
John Wick, 2, 1, 0, 8, 0, 0, 1
John Wick, 2, 1, 0, 7, 1, 0, 1
Willam DaFoe, 2, 1, 0, 13, 0, 0, 1
Wick's, 1, 1, 10, 13, 0, 1, 1
Frank Miller, 2, 1, 10, 12, 0, 1, 1
Leonidis, 1, 1, 1, 5, 0, 0, 1
Michael Bay, 2, 1, 5, 14, 0, 0, 1
Indiana Jones, 2, 1, 6, 9, 0, 0, 1
Indiana Jones, 2, 1, 3, 17, 0, 0, 1
Spielberg, 1, 1, 6, 15, 0, 0, 1
Lucas, 1, 1, 3, 4, 0, 1, 1
Tarzan, 1, 1, 0, 3, 0, 0, 1
Saul Zaentz, 2, 1, 0, 2, 0, 0, 1
Peter Shaffer, 2, 1, 0, 16, 1, 0, 1
Milos Forman, 2, 1, 3, 16, 0, 1, 1
Wolfgang Amadeus Mozart, 3, 1, 3, 6, 0, 0, 1
Antonio Salieri, 2, 1, 0, 2, 0, 0, 1
Shaffer, 1, 1, 0, 1, 0, 0, 1
Twyla Tharp, 2, 1, 4, 6, 0, 1, 1
Mozart, 1, 1, 4, 6, 0, 0, 1
Salieri's, 1, 1, 3, 5, 0, 0, 1
Mozart, 1, 1, 2, 7, 0, 0, 1
Antonio Salieri, 2, 1, 6, 10, 0, 0, 1
Mozart, 1, 1, 3, 8, 0, 0, 1
Salieri, 1, 1, 0, 16, 0, 0, 1
Mozart, 1, 1, 10, 11, 0, 0, 1
Mozart, 1, 1, 6, 8, 1, 0, 1
Salieri, 1, 1, 15, 19, 0, 0, 1
Mozart, 1, 1, 6, 10, 0, 0, 1
Salieri's, 1, 1, 0, 6, 0, 0, 1
Mozart, 1, 1, 16, 17, 0, 0, 1
Tom Hulce, 2, 1, 10, 22, 1, 0, 1
Salieri, 1, 1, 6, 12, 0, 0, 1
Mozart, 1, 1, 9, 12, 0, 0, 1
Milos Forman, 2, 1, 8, 35, 0, 0, 1
Salieri, 1, 1, 6, 7, 0, 0, 1
Ridley Scott's, 2, 1, 0, 10, 0, 0, 1
Frank Lucas, 2, 1, 5, 7, 0, 0, 1
Denzel Washington, 2, 1, 0, 21, 0, 0, 1
Denzel, 1, 1, 0, 16, 1, 0, 1
Russell, 1, 1, 2, 4, 0, 0, 1
Crowe, 1, 1, 1, 6, 0, 0, 1
Russell Crowe's, 2, 1, 0, 15, 0, 0, 1
Josh Brolin, 2, 1, 5, 13, 0, 0, 1
Frank Lucas, 2, 1, 0, 9, 1, 0, 1
Tom Hanks, 2, 1, 6, 29, 1, 1, 1
Robert Downey, 2, 1, 1, 10, 1, 0, 1
Carroll's, 1, 1, 6, 14, 0, 0, 1
Christian Bale's, 2, 1, 0, 7, 0, 0, 1
Bale, 1, 1, 1, 8, 0, 0, 1
Bourne, 1, 1, 9, 11, 0, 0, 1
John McClane, 2, 1, 6, 8, 0, 0, 1
Cyrus, 1, 1, 0, 13, 0, 0, 1
Bruce Willis', 2, 1, 0, 7, 0, 0, 1
Willis, 1, 1, 6, 10, 0, 0, 1
Carl Fredricksen's, 2, 1, 3, 13, 0, 0, 1
Willis, 1, 1, 4, 5, 0, 0, 1
Helen Mirren, 2, 1, 0, 6, 1, 0, 1
Willis', 1, 1, 8, 10, 0, 0, 1
Mirren, 1, 1, 0, 6, 1, 0, 1
John Malkovich, 2, 1, 0, 19, 1, 0, 1
Malkovich, 1, 1, 5, 12, 0, 0, 1
Morgan Freeman, 2, 1, 0, 11, 1, 0, 1
Willis', 1, 1, 9, 16, 0, 0, 1
Morgan Freeman, 2, 1, 3, 8, 0, 0, 1
Stallone, 1, 1, 0, 19, 0, 0, 1
John Cleese, 2, 1, 14, 20, 0, 0, 1
lynch, 1, 0, 6, 23, 0, 1, 1
lynch, 1, 0, 0, 15, 0, 0, 1
lynch, 1, 0, 1, 8, 0, 1, 1
betty, 1, 0, 0, 6, 0, 0, 1
naomi watts, 2, 0, 2, 6, 0, 0, 1
david lynch, 2, 0, 0, 10, 0, 0, 1
Bob Parr, 2, 1, 2, 23, 0, 0, 1
Holly Hunter, 2, 1, 2, 9, 0, 1, 1
Dash, 1, 1, 0, 15, 1, 0, 1
Violet, 1, 1, 2, 15, 0, 1, 1
Dash, 1, 1, 0, 1, 0, 0, 1
Jason Lee, 2, 1, 0, 9, 0, 0, 1
Marlin, 1, 1, 5, 14, 1, 0, 1
Dory, 1, 1, 7, 14, 0, 1, 1
Willem Dafoe, 2, 1, 0, 4, 0, 0, 1
Gill, 1, 1, 3, 4, 0, 1, 1
Bruce, 1, 1, 1, 4, 0, 0, 1
Edna Mode, 2, 1, 5, 12, 0, 0, 1
Brad Bird, 2, 1, 6, 15, 0, 0, 1
Jim Carry, 2, 1, 6, 11, 1, 1, 1
Stanley Ippkiss, 2, 1, 0, 18, 0, 0, 1
Jason Bourne, 2, 1, 2, 14, 0, 0, 1
Matt Damon, 2, 1, 5, 14, 0, 0, 1
