name,year,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2017 Audi Q3 2.0T Premium quattro,2017,Audi,Black,26449,Kayser Chrysler Center,(608) 338-1543,4.5,91,21894,19,Brilliant Black,Black,6-Speed Automatic,AWD,WA1ECCFS4HR015934
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Blue,43400,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,57,Utopia Blue Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFSXJR016445
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Black,42825,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,57,Brilliant Black,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS7JR016208
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Gray,41500,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,57,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS7JR019349
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Gray,43625,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,57,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS9JR021958
2017 Audi Q3 2.0T Premium,2017,Audi,Black,28956,Wilde Chrysler Jeep Dodge Ram & Subaru,(262) 347-4170,4.6,552,26242,63,Mythos Black Metallic,Black,6-Speed Automatic w/OD,AWD/All-Wheel Drive,WA1ECCFS9HR004749
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Gray,41730,International Autos,(414) 203-5342,3.8,56,,71,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS6JR011212
2018 Audi Q3 2.0T Premium Plus,2018,Audi,White,33500,International Autos,(414) 939-8502,3.8,56,6002,71,Glacier White Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1ECCFS0JR001311
2018 Audi Q3 2.0T Premium Plus,2018,Audi,White,40875,International Autos,(414) 203-5342,3.8,56,,71,Glacier White Metallic,Black,6-Speed Automatic,AWD,WA1JCCFS4JR013539
2018 Audi Q3 2.0T Premium Plus,2018,Audi,White,34500,International Autos,(414) 939-8502,3.8,56,5585,71,Glacier White Metallic,Chestnut Brown,Automatic with Tiptronic,AWD,WA1JCCFSXJR005641
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Black,41155,International Autos,(414) 203-5342,3.8,56,,71,Brilliant Black,Black,6-Speed Automatic,AWD,WA1JCCFS7JR011445
2018 Audi Q3 2.0T Premium Plus,2018,Audi,White,41730,International Autos,(414) 203-5342,3.8,56,,71,Glacier White Metallic,Black,6-Speed Automatic,AWD,WA1JCCFS2JR011062
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Gray,41645,International Autos,(414) 203-5342,3.8,56,,71,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS3JR009837
2016 Audi Q3 2.0T Premium Plus,2016,Audi,White,26525,Mike,,,,41000,81,White,Brown,Automatic,4x4/4-wheel drive,WA1EFCFS8GR003470
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Gray,45150,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,97,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS7JR014670
2016 Audi Q3 2.0T Premium Plus,2016,Audi,Silver,31995,The Chevrolet Exchange,(847) 457-8031,4.8,344,15627,97,Florett Silver Metallic,Black,6-Speed Automatic,AWD,WA1EFCFS8GR022195
2018 Audi Q3 2.0T Premium Plus,2018,Audi,Blue,41300,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,97,Utopia Blue Metallic,Rock Gray,6-Speed Automatic,AWD,WA1JCCFS5JR013761
2018 Audi Q3 2.0T Sport Premium,2018,Audi,Blue,38455,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,97,Utopia Blue Metallic,Black,6-Speed Automatic,AWD,WA1ECCFSXJR018729
2016 Audi Q3 2.0T Prestige,2016,Audi,White,32990,Bergstrom Imports on Victory Lane,(866) 519-7178,4.1,390,24443,97,Cortina White,Black,6-Speed Automatic,AWD,WA1GFCFS2GR018555
2015 Audi Q3 2.0T Premium Plus quattro,2015,Audi,White,24959,Land Rover Hoffman Estates,(847) 348-8730,4.8,191,39594,98,White,Chestnut Brown,6-Speed Automatic,AWD,WA1EFCFS1FR012445
2017 Audi Q3 2.0T Premium quattro,2017,Audi,White,30850,Zeigler Chrysler Jeep Dodge RAM of Schaumburg,(847) 453-4520,4.7,335,30155,99,Glacier White Metallic,Black,6-Speed Automatic,AWD,WA1ECCFSXHR008342
2017 Audi Q3 2.0T Premium Plus,2017,Audi,Gray,33980,VROOM (Milwaukee),(877) 682-3020,,,2611,76,Gray,Black,6-Speed Automatic w/OD,AWD,WA1JCCFS4HR006827
