name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41500,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,57,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS7JR019349
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,43400,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,57,Utopia Blue Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFSXJR016445
2018 Audi Q3 2.0T Premium Plus,Audi,Black,42825,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,57,Brilliant Black,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS7JR016208
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,43625,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,57,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS9JR021958
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41645,International Autos,(414) 203-5342,3.8,56,,71,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS3JR009837
2018 Audi Q3 2.0T Premium Plus,Audi,Black,41155,International Autos,(414) 203-5342,3.8,56,,71,Brilliant Black,Black,6-Speed Automatic,AWD,WA1JCCFS7JR011445
2018 Audi Q3 2.0T Premium Plus,Audi,White,41730,International Autos,(414) 203-5342,3.8,56,,71,Glacier White Metallic,Black,6-Speed Automatic,AWD,WA1JCCFS2JR011062
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41730,International Autos,(414) 203-5342,3.8,56,,71,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS6JR011212
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,43400,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,97,Utopia Blue Metallic,Black,6-Speed Automatic,AWD,WA1JCCFS6JR012859
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,41300,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,97,Utopia Blue Metallic,Rock Gray,6-Speed Automatic,AWD,WA1JCCFS5JR013761
2018 Audi Q3 2.0T Sport Premium,Audi,Blue,38455,Bergstrom Imports on Victory Lane,(877) 245-2925,4.1,390,,97,Utopia Blue Metallic,Black,6-Speed Automatic,AWD,WA1ECCFSXJR018729
