name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2015 Audi Q7 3.0L TDI Premium Plus,Audi,Blue,33976,Rock County Honda,(608) 554-2800,4.9,365,44049,35,Blue,,8-SPEED A/T,All Wheel Drive,WA1LMAFE4FD021827
2014 Audi Q7 3.0L TDI Prestige,Audi,Black,38900,Midwest Highline,(815) 516-8789,,,44000,62,Charcoal,Black,8-SPEED A/T,All Wheel Drive,WA1WMAFE4ED008880
2017 Audi Q7 3.0T Premium Plus,Audi,Silver,49500,Lexus of Brookfield,(262) 510-0474,4.9,176,20741,65,Florett Silver Metallic,Rock Gray,8-Speed Automatic,AWD,WA1LAAF75HD047785
2014 Audi Q7 3.0 TDI Premium Plus,Audi,Silver,31988,"AutoSource Motors, Inc.",(414) 455-6995,4.8,157,29869,79,Ice Silver Metallic,Black,8-Speed Automatic,AWD,WA1LMAFE6ED011671
2015 Audi Q7 3.0 TDI Premium Plus,Audi,Gray,33995,"AutoSource Motors, Inc.",(414) 455-6995,4.8,157,31556,79,Graphite Gray Metallic,Black,8-Speed Automatic,AWD,WA1LMAFE3FD021737
2014 Audi Q7 3.0 TDI Premium Plus,Audi,Black,28995,"AutoSource Motors, Inc.",(414) 455-6995,4.8,157,60671,79,Midnight Black,Black,8-Speed Automatic,AWD,WA1LMAFE8ED001322
2014 Audi Q7 3.0 TDI Prestige,Audi,White,30990,"AutoSource Motors, Inc.",(414) 455-6995,4.8,157,64006,79,Glacier White Metallic,Cardamom,8-Speed Automatic,AWD,WA1VMBFE7ED004226
2014 Audi Q7 3.0 TDI Premium,Audi,Gray,27995,"AutoSource Motors, Inc.",(414) 455-6995,4.8,157,64327,79,Daytona Gray Pearl,Black,8-Speed Automatic,AWD,WA1LMAFE2ED009920
2015 Audi Q7 3.0 TDI Premium quattro,Audi,White,33499,Midwest Motors,(847) 961-4998,4.9,150,80437,91,Glacier White Metallic,Espresso,8-Speed Automatic,AWD,WA1LMAFE3FD011676
2015 Audi Q7 3.0 TDI Premium,Audi,White,42988,Motor Werks - Barrington Auto Mall,(847) 829-0114,4.8,1566,29653,93,Glacier White Metallic,Black,8-Speed Automatic w/OD,AWD,WA1LMAFEXFD019550
2007 Audi Q7 Premium,Audi,Gray,9900,Budget Auto Sales,(920) 243-4703,4.6,11,125602,97,Gray,Black,6-SPEED A/T,All Wheel Drive,WA1BY74L17D101219
2014 Audi Q7 3.0 TDI Premium,Audi,White,35380,Audi Hoffman Estates,(847) 961-4947,4.9,1140,47284,100,Glacier White Metallic,Black,8-Speed Automatic w/OD,AWD,WA1CMAFE6ED020452
2008 Audi Q7 3.6L Premium,Audi,Beige,14580,Audi Hoffman Estates,(847) 961-4942,4.9,1140,77891,100,Bahia Beige Metallic,Cardamom Beige,6-Speed Automatic w/OD,AWD,WA1BY74L68D058451
2015 Audi Q7 3.0T Premium Plus,Audi,Black,39890,Audi Hoffman Estates,(847) 961-4942,4.9,1140,17651,100,Orca Black Metallic,Black,8-Speed Automatic w/OD,AWD,WA1LGAFE5FD014781
2015 Audi Q7 3.0T Premium,Audi,Black,31680,Audi Hoffman Estates,(847) 961-4942,4.9,1140,36988,100,Orca Black Metallic,Espresso,8-Speed Automatic w/OD,AWD,WA1CGAFEXFD013514
2017 Audi Q7 Prestige,Audi,White,61880,Audi Hoffman Estates,(847) 961-4942,4.9,1140,7922,100,Glacier White Metallic,Black,8-Speed Automatic w/OD,AWD,WA1VAAF70HD059240
2014 Audi Q7 3.0 TDI Premium Plus,Audi,Black,31000,Fox Valley Volkswagen in Schaumburg,(888) 478-9286,4.8,106,58199,100,Midnight Black,Black,8-Speed Automatic,AWD,WA1LMAFEXED005100
2017 Audi Q7 3.0T Premium,Audi,Black,54995,Patrick BMW,(866) 455-0793,4.8,133,24973,100,Orca Black Metallic,Rock Gray,8-Speed Automatic,AWD,WA1VAAF7XHD008294
2017 Audi Q7 Premium Plus,Audi,Black,58880,Audi Hoffman Estates,(847) 961-4947,4.9,1140,6740,100,Night Black,Black,8-Speed Automatic w/OD,AWD,WA1LAAF70HD056233
2017 Audi Q7 Premium Plus,Audi,Black,53880,Audi Hoffman Estates,(847) 961-4942,4.9,1140,8273,100,Orca Black Metallic,Pistachio Beige,8-Speed Automatic w/OD,AWD,WA1LHBF78HD036412
2017 Audi Q7 Premium Plus,Audi,Gray,55880,Audi Hoffman Estates,(847) 961-4942,4.9,1140,24899,100,Graphite Gray Metallic,Black,8-Speed Automatic w/OD,AWD,WA1LAAF79HD005975
2015 Audi Q7 3.0 TDI Premium Plus,Audi,Gray,34495,M & I Motors,(847) 239-5796,4.6,201,51772,101,Daytona Gray Pearl,Black,8-Speed Automatic,AWD,WA1LMAFE1FD010221
2015 Audi Q7 3.0T S Line Prestige,Audi,Brown,40987,The Audi Exchange,(847) 739-9945,4.9,558,38996,102,Teak Brown Metallic,Cardamom,8-Speed Automatic,AWD,WA1DGAFE6FD005642
2015 Audi Q7 3.0L TDI Premium Plus,Audi,White,42800,Chicago Motor Cars,(630) 984-4087,4.7,476,16729,102,Glacier White Metallic,Black,8-SPEED A/T,All Wheel Drive,WA1LMAFE8FD015092
2017 Audi Q7 2.0T Premium,Audi,Gray,52935,The Audi Exchange,(847) 739-9945,4.9,558,11270,102,Graphite Gray Metallic,Black,8-Speed Automatic,AWD,WA1LHAF70HD051397
2017 Audi Q7 3.0T Premium,Audi,White,57575,The Audi Exchange,(847) 739-9945,4.9,558,7239,102,Glacier White Metallic,Black,Automatic with Tiptronic,AWD,WA1LAAF7XHD059804
2017 Audi Q7 3.0T Premium,Audi,White,57987,The Audi Exchange,(847) 739-9945,4.9,558,6601,102,Glacier White Metallic,Black,8-Speed Automatic,AWD,WA1LAAF72HD036937
2017 Audi Q7 3.0T Premium,Audi,White,57375,The Audi Exchange,(847) 739-9945,4.9,558,6946,102,Glacier White Metallic,Black,Automatic with Tiptronic,AWD,WA1LAAF71HD056435
2017 Audi Q7 3.0T Premium,Audi,Gray,58275,The Audi Exchange,(847) 739-9945,4.9,558,7999,102,Graphite Gray Metallic,Black,Automatic with Tiptronic,AWD,WA1LAAF7XHD059818
2018 Audi Q7 3.0T Premium,Audi,Black,68665,The Audi Exchange,(847) 739-9945,4.9,558,8228,102,Orca Black Metallic,Black,8-Speed Automatic,AWD,WA1VAAF76JD004474
2017 Audi Q7 3.0T Prestige,Audi,Black,60287,The Audi Exchange,(847) 739-9945,4.9,558,21324,102,Orca Black Metallic,Black,8-Speed Automatic,AWD,WA1VAAF79HD006536
2017 Audi Q7 2.0T Premium,Audi,White,50545,The Audi Exchange,(847) 739-9945,4.9,558,8334,102,Glacier White Metallic,Black,8-Speed Automatic,AWD,WA1AHAF79HD048327
2013 Audi Q7 3.0 TDI Premium Plus,Audi,Other,29987,The Audi Exchange,(847) 739-9939,4.9,558,40937,102,Lava / Gray Pearl,Black,8-Speed Automatic,AWD,WA1LMAFE1DD003797
2015 Audi Q7 3.0T S Line Prestige,Audi,Black,36496,Gregory Hyundai,(888) 612-9986,4.8,46,20956,104,Black,Cardamom,8-Speed Automatic,AWD,WA1DGAFE6FD017595
2015 Audi Q7 3.0T Premium Plus,Audi,Gray,32475,Jidd Motors,(866) 615-4910,4.6,787,49550,105,Gray,Black,8-Speed Automatic w/OD,AWD,WA1LGAFE3FD001026
2015 Audi Q7 3.0T Premium,Audi,Blue,34995,Fields INFINITI of Glencoe,(888) 238-0677,4.9,97,34216,107,Blue Metallic,Cardamom,8-Speed Automatic,AWD,WA1LGAFE8FD008912
2007 Audi Q7 3.6 Premium,Audi,White,11999,Continental Imports,(847) 752-5638,4.6,25,104012,107,White,Gray,6-Speed Automatic,AWD,WA1BY74L97D052819
2017 Audi Q7 3.0T Premium,Audi,Black,50995,Fields INFINITI of Glencoe,(888) 238-0677,4.9,97,14993,107,Night Black,Black,8-Speed Automatic,AWD,WA1LAAF77HD042846
2015 Audi Q7 3.0T S line Prestige,Audi,Blue,36998,CarMax Naperville,(331) 200-2096,3,1,45324,108,Blue,Black,8-Speed Automatic w/OD,AWD,WA1DGAFEXFD007023
2018 Audi Q7 3.0T Premium,Audi,White,60000,Fields Volvo Cars of Northfield,(847) 629-0494,4.8,24,2283,108,Glacier White Metallic,Pistachio Beige,8-Speed Automatic,AWD,WA1LAAF77JD010100
2014 Audi Q7 3.0 TDI Premium,Audi,Black,29800,Ultimo Motors,(630) 848-9648,4.7,97,61128,109,Midnight Black,Black,8-Speed Automatic,AWD,WA1CMAFEXED002665
2015 Audi Q7 3.0T S Line Prestige,Audi,White,30991,Audi Morton Grove,(888) 508-5453,4.5,213,76278,109,Glacier White Metallic,Black,8-Speed Automatic,AWD,WA1DGAFE1FD006746
