name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain
2018 Acura RDX Base,Acura,Black,38495,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,Crystal Black Pearl,Ebony,6-Speed Automatic,AWD
2018 Acura RDX Advance Package,Acura,Black,45195,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,Crystal Black Pearl,Parchment,6-Speed Automatic,AWD
2018 Acura RDX Technology Package,Acura,White,42195,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,White Diamond Pearl,Parchment,6-Speed Automatic,AWD
2018 Acura RDX Advance Package,Acura,Black,44975,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,Crystal Black Pearl,Parchment,6-Speed Automatic,AWD
2018 Acura RDX Technology & AcuraWatch Plus Packages,Acura,Black,43275,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,Crystal Black Pearl,Ebony,6-Speed Automatic,AWD
2018 Acura RDX Technology Package,Acura,Silver,42195,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,Lunar Silver Metallic,Ebony,6-Speed Automatic,AWD
2018 Acura RDX Technology Package,Acura,Black,42195,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,Crystal Black Pearl,Ebony,6-Speed Automatic,AWD
2018 Acura RDX Advance Package,Acura,Blue,44995,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,Fathom Blue Pearl,Greystone,6-Speed Automatic,AWD
2018 Acura RDX Advance Package,Acura,White,44995,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,White Diamond Pearl,Parchment,6-Speed Automatic,AWD
2018 Acura RDX Base,Acura,Black,38495,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,Crystal Black Pearl,Ebony,6-Speed Automatic,AWD
2018 Acura RDX Technology Package,Acura,Blue,42195,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,Fathom Blue Pearl,Greystone,6-Speed Automatic,AWD
2018 Acura RDX Technology Package,Acura,White,42195,Zimbrick Acura Volkswagen,(888) 863-5856,5,5,,3,White Diamond Pearl,Ebony,6-Speed Automatic,AWD
2018 Acura RDX Advance Package,Acura,Gray,42949,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Modern Steel Metallic,Graystone,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Base,Acura,Black,40107,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Crystal Black Pearl,Ebony,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Advance Package,Acura,Gray,42759,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Modern Steel Metallic,Ebony Leather,Automatic,All Wheel Drive
2018 Acura RDX Advance Package,Acura,Black,42949,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Crystal Black Pearl,Parchment,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Advance Package,Acura,Blue,42949,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Fathom Blue Pearl,Graystone,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Base,Acura,White,34971,Acura of Brookfield,(866) 413-9831,4.9,490,,65,White Diamond Pearl,Parchment,Automatic,Front Wheel Drive
2018 Acura RDX Base,Acura,Silver,40107,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Lunar Silver Metallic,Graystone,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Advance Package,Acura,White,42949,Acura of Brookfield,(866) 413-9831,4.9,490,,65,White Diamond Pearl,Ebony,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Advance Package,Acura,Red,42949,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Basque Red Pearl Ii,Parchment,Automatic,All Wheel Drive
2018 Acura RDX Base,Acura,Blue,40107,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Fathom Blue Pearl,Graystone,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Base,Acura,Gray,36602,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Modern Steel Metallic,Ebony,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Base,Acura,White,36392,Acura of Brookfield,(866) 413-9831,4.9,490,,65,White Diamond Pearl,Parchment Leather,Automatic,All Wheel Drive
2018 Acura RDX Advance Package,Acura,Red,42949,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Basque Red Pearl Ii,Parchment,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Advance Package,Acura,White,42949,Acura of Brookfield,(866) 413-9831,4.9,490,,65,White Diamond Pearl,Ebony,6-SPEED A/T,All Wheel Drive
2018 Acura RDX Advance Package,Acura,Gray,42759,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Modern Steel Metallic,Ebony Leather,Automatic,All Wheel Drive
2018 Acura RDX Base,Acura,Gray,39917,Acura of Brookfield,(866) 413-9831,4.9,490,,65,Modern Steel Metallic,Graystone Leather,Automatic,All Wheel Drive
