name,year,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2006 Audi A6 3.2 quattro,2006,Audi,Silver,8479,Kayser Ford Lincoln,(608) 807-5359,4.7,399,105855,2,Silver,Beige,6-Speed Automatic,AWD,WAUDH74F36N132034
2017 Audi A4 Premium,2017,Audi,Silver,29500,Smart Motors,(608) 318-4181,4.7,432,16498,4,Cuvee Silver Metallic,Black,7-Speed Auto-Shift Manual w/OD,AWD,WAUANAF43HN050554
2012 Audi A4 2.0T Premium quattro,2012,Audi,Silver,17599,CarMax Madison,(608) 286-3923,4.3,3,39195,5,Silver,Gray,8-Speed Automatic w/Manual Shift,AWD,WAUBFAFL8CN011895
2016 Audi Q5 2.0T Premium Plus quattro,2016,Audi,Black,32950,Lexus of Madison,(608) 478-2660,5,68,11808,6,Brilliant Black,Black,8-Speed Automatic,AWD,WA1L2AFPXGA004007
2015 Audi A6 2.0T Premium Plus quattro,2015,Audi,Black,27950,Lexus of Madison,(608) 478-2660,5,68,24665,6,Black,,8-Speed Automatic,AWD,WAUGFAFC1FN005723
2017 Audi A4 Season of Audi Premium,2017,Audi,Gray,31400,Zimbrick Nissan,(608) 338-0718,4.6,111,2769,7,Manhattan Gray Metallic,Atlas Beige/Gray,7-SPEED A/T,All Wheel Drive,WAUDNAF45HN046972
2014 Audi A6 2.0T Premium Plus,2014,Audi,Gray,25889,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303,20324,7,Oolong Gray Metallic,Black,8-Speed A/T,All Wheel Drive,WAUGFAFCXEN120108
2014 Audi A4 Premium,2014,Audi,White,17299,Wilde East Towne Honda,(608) 467-1265,4.9,2694,71411,7,White,,8-SPEED A/T,All Wheel Drive,WAUBFAFL1EN001101
2015 Audi Q5 2.0T Premium Plus quattro,2015,Audi,Gray,25500,Zimbrick Buick GMC Eastside,(608) 729-3827,4.9,183,41555,7,Gray,,8-Speed Automatic,AWD,WA1LFAFP1FA109697
2015 Audi A3 2.0T Premium Plus quattro,2015,Audi,Gray,19577,Russ Darrow Mazda of Madison,(608) 338-1572,4.8,156,45209,7,Monsoon Gray Metallic,Titanium,6-Speed Automatic with Auto-Shift,AWD,WAUEFGFF9F1023009
2017 Audi Q3 2.0T Premium quattro,2017,Audi,Black,26449,Kayser Chrysler Center,(608) 338-1543,4.5,91,21894,22,Brilliant Black,Black,6-Speed Automatic,AWD,WA1ECCFS4HR015934
2017 Audi Q5 2.0T Premium quattro,2017,Audi,Blue,33859,Griffin Ford Lincoln Fort Atkinson,(920) 542-4359,4.9,79,28062,29,Moonlight Blue Metallic,Titanium Gray / Steel Gray,8-Speed Automatic,AWD,WA1C2AFP9HA099371
2015 Audi Q7 3.0L TDI Premium Plus,2015,Audi,Blue,33423,Rock County Honda,(608) 554-2800,4.9,366,44315,33,Blue,,8-SPEED A/T,All Wheel Drive,WA1LMAFE4FD021827
2012 Audi Q5 2.0T Premium quattro,2012,Audi,Gray,17803,Bryden Motors,(608) 713-4799,4.2,15,63613,43,Daytona Gray Pearl,Cardamom,8-Speed Automatic,AWD,WA1LFAFP8CA129585
2014 Audi Q7 3.0L TDI Premium Plus,2014,Audi,Black,34896,Kunes Country Chrysler Dodge Jeep Ram of Elkhorn,(262) 607-8408,4.8,278,57292,51,Black,Black,8-SPEED A/T,All Wheel Drive,WA1LMAFE5ED012326
2018 Audi A5 2.0T Premium Plus quattro,2018,Audi,Black,58640,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Mythos Black Metallic / Black Roof,Atlas Beige,7-Speed Automatic with Auto-Shift,AWD,WAUYNGF55JN010170
2018 Audi S5 3.0T Premium Plus quattro,2018,Audi,Gray,67261,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,,55,Daytona Gray Pearl Effect / Black Roof,Black,8-Speed Automatic,AWD,WAUY4GF53JN001924
2013 Audi Q7 3.0 TDI Premium Plus,2013,Audi,Gray,23999,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522,93919,55,Gray,,8-Speed Automatic,AWD,WA1LMAFE9DD006432
