name,year,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2005 Lexus ES 330,2005,Lexus,Blue,7567,Kayser Ford Lincoln,(608) 807-5359,4.7,399,116524,2,Blue Shale Mica,Cashmere,5-Speed Automatic,FWD,JTHBA30G555128411
2015 Lexus RX 350,2015,Lexus,Black,29100,Smart Motors,(608) 318-4181,4.7,432,39908,4,Stargazer Black,Black,6-Speed Automatic w/OD,AWD,2T2BK1BA0FC286490
2009 Lexus RX 350,2009,Lexus,Silver,15500,Lexus of Madison,(608) 478-2660,5,68,82120,6,Classic Silver,Black,5-Speed Automatic,AWD,2T2HK31U09C111548
2018 Lexus IS 300,2018,Lexus,White,43793,Lexus of Madison,(608) 478-2661,5,68,,6,Ultra White,Black,6-Speed Automatic,AWD,JTHC81D26J5029108
2015 Lexus RX 350 Base,2015,Lexus,Red,28950,Lexus of Madison,(608) 478-2657,5,68,36215,6,Claret Mica,Parchment,6-Speed Automatic,AWD,2T2BK1BA3FC299881
2013 Lexus RX 350 Base,2013,Lexus,Beige,21950,Lexus of Madison,(608) 478-2660,5,68,82589,6,Satin Cashmere Metallic,Parchment,6-Speed Automatic,AWD,2T2BK1BAXDC174227
2017 Lexus ES 350 Base,2017,Lexus,Brown,36950,Lexus of Madison,(608) 478-2657,5,68,10196,6,Autumn Shimmer,Parchment,6-Speed Automatic,FWD,58ABK1GG0HU054662
2008 Lexus RX 350,2008,Lexus,Silver,11950,Lexus of Madison,(608) 478-2660,5,68,98744,6,Millennium Silver Metallic,Black,5-Speed Automatic,AWD,2T2HK31UX8C080839
2017 Lexus NX 200t NX,2017,Lexus,Silver,32950,Lexus of Madison,(608) 478-2657,5,68,8838,6,Atomic Silver,Black,6-Speed Automatic,AWD,JTJBARBZ3H2099108
2011 Lexus GS 350 Base,2011,Lexus,Beige,16950,Lexus of Madison,(608) 478-2660,5,68,58677,6,Satin Cashmere Metallic,Parchment,6-Speed Automatic,AWD,JTHCE1KS2B0030928
2015 Lexus NX 200t 200T,2015,Lexus,Silver,26950,Lexus of Madison,(608) 478-2660,5,68,15887,6,Atomic Silver,Black,6-Speed Automatic,FWD,JTJYARBZ7F2017887
2015 Lexus NX 200t,2015,Lexus,White,28500,Lexus of Madison,(608) 478-2660,5,68,43837,6,Eminent White Pearl,Cream,6-Speed Automatic,AWD,JTJBARBZXF2002726
