name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain
2018 Honda CR-V EX-L,Honda,Black,31825,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Crystal Black Pearl,Blk Lth,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V LX,Honda,Blue,26525,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Obsidian Blue Pearl,Gray,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V LX,Honda,Blue,26525,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Obsidian Blue Pearl,Gray,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V EX-L,Honda,Silver,31825,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Lunar Silver Metallic,Blk Lth,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V Touring,Honda,White,35025,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,White Diamond Pearl,Blk Lth,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V EX-L,Honda,Green,31825,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Dark Olive Metallic,Blk Lth,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V EX-L,Honda,Red,31825,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Molten Lava Pearl,Ivory,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V LX,Honda,White,26525,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,White Diamond Pearl,Ivory Seat Trim,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V EX-L,Honda,Silver,31825,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Lunar Silver Metallic,Blk Lth,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V LX,Honda,Blue,26525,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Obsidian Blue Pearl,Gray,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V LX,Honda,Blue,26525,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Obsidian Blue Pearl,Gray,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V LX,Honda,Black,26525,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Crystal Black Pearl,Black,continuously variable w/sport mode,All Wheel Drive
2017 Honda CR-V LX,Honda,Gray,26285,Wilde East Towne Honda,(608) 807-5370,4.9,2663,,10,Modrn Stl Met,Gray,continuously variable w/sport mode,All Wheel Drive
2018 Honda CR-V EX-L,Honda,Gray,31825,Russ Darrow Honda,(866) 495-8682,4.7,734,,72,Modern Steel Metallic,Gray,Automatic CVT,AWD
2018 Honda CR-V EX,Honda,Gray,29325,Russ Darrow Honda,(866) 495-8682,4.7,734,,72,Gunmetal Metallic,Gray,Automatic CVT,AWD
2017 Honda CR-V LX,Honda,Black,26285,Russ Darrow Honda,(866) 495-8682,4.7,734,,72,Crystal Black Pearl,Black,Automatic CVT,AWD
