name,VIN,make,model,year,price,miles,Exterior Color,Interior Color,Seller Name,Seller Phone,Transmission,Drivetrain
2017 Audi Q3 2.0T Premium SUV,WA1BCCFS6HR015081,Audi,Q3,2017,24995,17171,Cortina White,ROCK GRAY,Kayser Nissan,866-752-3695,Automatic,Front Wheel Drive
2017 Audi Q3 2.0T Premium SUV,WA1ECCFS7HR015748,Audi,Q3,2017,27385,22498,Brilliant black,BLACK,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive
2017 Audi Q3 2.0T Premium SUV,WA1ECCFS4HR015934,Audi,Q3,2017,26449,21894,Brilliant black,BLACK,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive
2006 Audi A6 3.2 Sedan,WAUDH74F36N132034,Audi,A6,2006,8479,105855,Light Silver,BEIGE,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive
2012 Audi A5 2dr Cpe Auto quattro 2.0T Premium P Car,WAULFAFR7CA003657,Audi,A5,2012,15200,89942,Monsoon Gray Metallic,BLACK,Zimbrick Audi,(608) 258-4000,Automatic,All Wheel Drive
2017 Audi A4 2.0 TFSI Auto Premium quattro AWD Car,WAUANAF43HN020955,Audi,A4,2017,36700,6876,Florett Silver Metallic,BLACK,Zimbrick Audi,(608) 258-4000,Automatic,All Wheel Drive
2018 Audi Q3 2.0 TFSI Premium Plus quattro AWD Sport Utility,WA1JCCFS9JR008269,Audi,Q3,2018,35400,4458,Brilliant Black,CHESTNUT BROWN,Zimbrick Audi,(608) 258-4000,,All Wheel Drive
2016 Audi Q5 quattro 4dr 2.0T Premium Plus Sport Utility,WA1L2AFP4GA004035,Audi,Q5,2016,34100,26376,Brilliant Black,BLACK,Zimbrick Audi,(608) 258-4000,Automatic,All Wheel Drive
2017 Audi A3 2.0 TFSI Premium Plus quattro AWD Car,WAUJ8GFF7H1028981,Audi,A3,2017,32000,5238,Mythos Black Metallic,CHESTNUT BROWN,Zimbrick Audi,(608) 258-4000,,All Wheel Drive
2016 Audi Q5 quattro 4dr 2.0T Premium Plus Sport Utility,WA1L2AFP3GA004009,Audi,Q5,2016,31400,44444,Brilliant Black,BLACK,Zimbrick Audi,(608) 258-4000,Automatic,All Wheel Drive
2017 Audi A3 2.0 TFSI Premium Plus quattro AWD Car,WAUJ8GFF9H1045958,Audi,A3,2017,30800,13858,Brilliant Black,ROCK GRAY,Zimbrick Audi,(608) 258-4000,,All Wheel Drive
