name,VIN,make,model,year,price,miles,Exterior Color,Interior Color,Seller Name,Seller Phone,Transmission,Drivetrain
2017 BMW X3 Xdrive28i SUV,5UXWX9C30H0W66835,BMW,X3,2017,32528,13327,Mineral Silver Metallic,BLACK,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive
2013 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3C55DJ976353,BMW,3 Series,2013,17986,69367,Jet Black,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2011 BMW X3 AWD 4dr 28i,5UXWX5C5XBL704359,BMW,X3,2011,15990,83846,Blue Water Metallic,Oyster,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2011 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBAPK7C59BA820953,BMW,3 Series,2011,14882,62935,Space Gray Metallic,Beige,Zimbrick BMW,888-237-4721 877-654-8272,Manual,All Wheel Drive
2011 BMW M3 2dr Cpe,WBSKG9C59BE369258,BMW,M3,2011,29990,63030,Jet Black,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive
2016 BMW 3 Series 4dr Sdn 320i xDrive AWD,WBA8E5G50GNT94838,BMW,3 Series,2016,29990,11845,Mineral White Metallic,Venetian Beige SensaTec,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3G54FNR87396,BMW,3 Series,2015,29882,30694,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3G54FNT17783,BMW,3 Series,2015,28990,16996,Jet Black,Black w/Red Highlight,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3G50FNR88674,BMW,3 Series,2015,27990,25579,Jet Black,Coral Red/Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3C56FF546773,BMW,3 Series,2015,26990,30051,Mineral Grey Metallic,Black Dakota Leather,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW X3 AWD 4dr xDrive28i,5UXWX9C59F0D50674,BMW,X3,2015,26958,36077,Space Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW M3 4dr Sdn,WBS3C9C59FP804998,BMW,M3,2015,57990,9307,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive
2018 BMW 5 Series 530i xDrive Sedan,WBAJA7C55JWA73073,BMW,5 Series,2018,54994,3400,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,
2017 BMW X5 xDrive35i Sports Activity Vehicle,5UXKR0C35H0X76896,BMW,X5,2017,54725,9489,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2017 BMW 5 Series 530i xDrive Sedan,WBAJA7C34HWA70867,BMW,5 Series,2017,54945,5027,Imperial Blue Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive
2018 BMW X4 xDrive28i Sports Activity Coupe,5UXXW3C52J0Y66465,BMW,X4,2018,54695,2800,Dark Graphite Metallic,Black Nevada Leather,Zimbrick BMW,888-237-4721 877-654-8272,,4-Wheel Drive
2015 BMW M3 4dr Sdn,WBS3C9C5XFP805108,BMW,M3,2015,52990,27763,Mineral White Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive
2017 BMW X4 M40i Sports Activity Coupe,5UXXW7C34H0U26831,BMW,X4,2017,48997,7411,Alpine White,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2017 BMW 4 Series 430i xDrive Gran Coupe SULEV,WBA4F9C51HG440367,BMW,4 Series Gran Coupe,2017,51595,7000,Carbon Black Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2017 BMW X3 xDrive28i Sports Activity Vehicle,5UXWX9C38H0W76481,BMW,X3,2017,48845,7500,Mineral White Metallic,Saddle Brown,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2018 BMW 4 Series 430i xDrive Coupe,WBA4W5C59JAA49620,BMW,4 Series,2018,48780,4800,Black Sapphire Metallic,Black w/Blue Stitching,Zimbrick BMW,888-237-4721 877-654-8272,,
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,WBA3B5G55FNS16134,BMW,3 Series,2015,26930,38150,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2014 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,WBA3B5G56ENS11376,BMW,3 Series,2014,24990,41926,Black Sapphire Metallic,Black/Red,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW X1 AWD 4dr xDrive28i,WBAVL1C54FVY30225,BMW,X1,2015,24435,46282,Black Sapphire Metallic,Terra w/Gray-Petrol,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2000 BMW Z3 M 2dr Roadster 3.2L,WBSCK9340YLC92166,BMW,M,2000,23990,62895,Dakar Yellow,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive
2014 BMW i3 4dr HB w/Range Extender,WBY1Z4C53EV276304,BMW,i3,2014,22990,32542,Capparis White/BMW i Frozen Bl,Tera (Full Leather),Zimbrick BMW,888-237-4721 877-654-8272,Direct Drive,Rear Wheel Drive
2013 BMW X1 AWD 4dr xDrive35i,WBAVM5C54DVL63910,BMW,X1,2013,22990,37297,Midnight Blue Metallic,Terra,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2013 BMW 3 Series 4dr Sdn 335i xDrive AWD,WBA3B9C57DF140873,BMW,3 Series,2013,22990,39874,Glacier Silver Metallic,Leather Dakota Venetian Beige,Zimbrick BMW,888-237-4721 877-654-8272,Manual,All Wheel Drive
2015 BMW X1 AWD 4dr xDrive28i,WBAVL1C52FVY35889,BMW,X1,2015,22887,47493,Jet Black,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2018 BMW 3 Series 320i xDrive Sedan,WBA8A3C53JA067404,BMW,3 Series,2018,41810,7961,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive
2018 BMW 3 Series 320i xDrive Sedan,WBA8E5G58JNU46319,BMW,3 Series,2018,41515,3302,Glacier Silver Metallic,Black SensaTec,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive
2018 BMW X1 xDrive28i Sports Activity Vehicle,WBXHT3C3XJ5F88324,BMW,X1,2018,41445,4800,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive
2017 BMW X3 xDrive28i Sports Activity Vehicle,5UXWX9C35H0T20103,BMW,X3,2017,39745,7800,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2018 BMW X1 xDrive28i Sports Activity Vehicle,WBXHT3C37J5K21670,BMW,X1,2018,40997,2500,Glacier Silver Metallic,Black Dakota Leather,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive
2015 BMW 4 Series 2dr Cpe 435i xDrive AWD,WBA3R5C51FK372206,BMW,4 Series,2015,35990,37134,Mineral Gray Metallic,Coral Red/Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW X3 AWD 4dr xDrive28i,5UXWX9C56F0D51264,BMW,X3,2015,33990,37495,Mineral White Metallic,Saddle Brown Nevada Leather,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW X4 AWD 4dr xDrive28i,5UXXW3C57F0M86626,BMW,X4,2015,32970,38692,Black Sapphire Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3C50FF548504,BMW,3 Series,2015,31990,9142,Alpine White,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2011 BMW 5 Series 4dr Sdn 550i xDrive AWD,WBAFU9C5XBC785507,BMW,5 Series,2011,20990,55820,Cashmere Silver Metallic,Venetian Beige,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2014 BMW X3 AWD 4dr xDrive28i,5UXWX9C51E0D20003,BMW,X3,2014,20990,72027,Black Sapphire Metallic,Sand Beige,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2013 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,WBA3B5C56DJ599026,BMW,3 Series,2013,20990,45155,Jet Black,Black Dakota Leather,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2015 BMW X1 AWD 4dr xDrive28i,WBAVL1C5XFVY34215,BMW,X1,2015,20628,49330,Alpine White,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2018 BMW 3 Series 330i xDrive Sedan,WBA8D9G54JNU68540,BMW,3 Series,2018,46950,1800,Mineral Grey Metallic,Black SensaTec/Red Stitching,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive
2011 BMW 3 Series 2dr Conv 335i,WBADX7C59BE581899,BMW,3 Series,2011,19990,53931,Deep Sea Blue Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive
2018 BMW 4 Series 430i xDrive Convertible,WBA4Z3C52JEA31707,BMW,4 Series,2018,46782,18901,Alpine White,Venetian Beige/Dk. Oyster,Zimbrick BMW,888-237-4721 877-654-8272,,
2017 BMW X3 xDrive28i Sports Activity Vehicle,5UXWX9C36H0W74955,BMW,X3,2017,45993,6262,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2017 BMW 3 Series 330i xDrive Sedan,WBA8D9G57HNT90989,BMW,3 Series,2017,46085,7200,Mediterranean Blue Metallic,Oyster Dakota Leather,Zimbrick BMW,888-237-4721 877-654-8272,,
2015 BMW 6 Series 4dr Sdn 640i xDrive AWD Gran Coupe,WBA6B8C55FD453751,BMW,6 Series Gran Coupe,2015,45990,33825,Black Sapphire Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
2018 BMW 3 Series 330i xDrive Sedan,WBA8D9G54JNU67730,BMW,3 Series,2018,45897,2400,Alpine White,Venetian Beige Sensatec,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive
2018 BMW 3 Series 320i xDrive Sedan,WBA8E5G59JNU45616,BMW,3 Series,2018,44835,4787,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive
2017 BMW 3 Series 330i xDrive Sports Wagon,WBA8K3C56HK679288,BMW,3 Series,2017,44280,3500,Mineral Gray Metallic,Saddle Brown/Dark Brown,Zimbrick BMW,888-237-4721 877-654-8272,,
2017 BMW 2 Series 230i xDrive Convertible,WBA2M9C34HV717875,BMW,2 Series,2017,41947,6553,Mineral White Metallic,Terra,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive
2015 BMW 4 Series 2dr Conv 435i xDrive AWD,WBA3T7C59FPW79980,BMW,4 Series,2015,41990,25187,Black Sapphire Metallic,Black/Blue Highlight,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive
