name,VIN,make,model,year,price,miles,Exterior Color,Interior Color,Seller Name,Seller Phone,Transmission,Drivetrain
2010 Mercedes-Benz GL-Class GL450 4MATIC SUV,4JGBF7BEXAA543808,Mercedes-Benz,GL-Class,2010,15614,107545,Black,CASHMERE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Mercedes-Benz E-Class E 350 4MATIC Sedan,WDDHF8JB4FB086738,Mercedes-Benz,E-Class,2015,29855,35199,Silver,GRAY/DARK GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Mercedes-Benz 4dr Sdn C 300 4MATIC,55SWF4KB7FU028806,Mercedes-Benz,C-Class,2015,27900,27316,Obsidian Black Metallic,Black MB-Tex,Zimbrick European,608-258-4000,Automatic,All Wheel Drive
2015 Mercedes-Benz 4MATIC 4dr GL 450,4JGDF6EE8FA509582,Mercedes-Benz,GL-Class,2015,42795,37705,Polar White,Black,Zimbrick European,608-258-4000,Automatic,All Wheel Drive
2015 Mercedes-Benz 4MATIC 4dr GLK 350,WDCGG8JB8FG378604,Mercedes-Benz,GLK-Class,2015,29900,20629,Lunar Blue Metallic,Sahara Beige/Mocha MB-Tex,Zimbrick European,608-258-4000,Automatic,All Wheel Drive
2017 Mercedes-Benz C 300 4MATIC Sedan,55SWF4KB8HU194559,Mercedes-Benz,C-Class,2017,48905,4982,Lunar Blue Metallic,Silk Beige MB-Tex,Zimbrick European,(608) 258-4000,Automatic,All Wheel Drive
2017 Mercedes-Benz GLE 350 4MATIC SUV,4JGDA5HB5HA882527,Mercedes-Benz,GLE-Class,2017,47900,22223,Selenite Grey,Black MB-Tex,Zimbrick European,(608) 258-4000,Automatic,All Wheel Drive
2018 Mercedes-Benz GLC 300 4MATIC SUV,WDC0G4KB1JV015428,Mercedes-Benz,GLC-Class,2018,45695,6312,Lunar Blue Metallic,Black MB-Tex,Zimbrick European,(608) 258-4000,Automatic,
2015 Mercedes-Benz 4MATIC 4dr GL 450,4JGDF6EE8FA521828,Mercedes-Benz,GL-Class,2015,42900,40315,Steel Gray Metallic,Black,Zimbrick European,(608) 258-4000,Automatic,All Wheel Drive
2016 Mercedes-Benz 4MATIC 4dr GLE 350,4JGDA5HB8GA635484,Mercedes-Benz,GLE-Class,2016,41900,46165,Iridium Silver Metallic,Black MB-Tex,Zimbrick European,(608) 258-4000,Automatic,All Wheel Drive
2016 Mercedes-Benz 4MATIC 4dr GLE 350,4JGDA5HB0GA671797,Mercedes-Benz,GLE-Class,2016,41900,37594,Steel Grey Metallic,Black MB-Tex,Zimbrick European,(608) 258-4000,Automatic,All Wheel Drive
