name,brand,vehicleTransmission,productionDate,color,price,vehicleInteriorColor
2017 Acura MDX SH-AWD w/Advance Package,Acura,AUTOMATIC,2017,White Diamond Pearl,57475,Parchment premium leather
2018 Acura MDX SH-AWD w/Technology Package,Acura,AUTOMATIC,2018,Lunar Silver Metallic,51595,Ebony leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Crystal Black Pearl,47195,Ebony leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Crystal Black Pearl,47195,Ebony leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Lunar Silver Metallic,47195,Ebony leather
2018 Acura MDX SH-AWD w/Advance Package,Acura,AUTOMATIC,2018,Black Copper Pearl,57645,Espresso premium leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Lunar Silver Metallic,47195,Graystone leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Crystal Black Pearl,47195,Ebony leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Modern Steel Metallic,47195,Graystone leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Modern Steel Metallic,47195,Ebony leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Basque Red Pearl II,47195,Parchment leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Modern Steel Metallic,47195,Ebony leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Modern Steel Metallic,47195,Graystone leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Crystal Black Pearl,47195,Ebony leather
2018 Acura MDX SH-AWD,Acura,AUTOMATIC,2018,Modern Steel Metallic,47195,Ebony leather
2018 Acura MDX SH-AWD w/Technology Package,Acura,AUTOMATIC,2018,Black Copper Pearl,51595,Espresso leather
2018 Acura MDX SH-AWD w/Technology Package,Acura,AUTOMATIC,2018,Crystal Black Pearl,51595,Ebony leather
2018 Acura MDX SH-AWD w/Technology Package,Acura,AUTOMATIC,2018,White Diamond Pearl,51595,Parchment leather
2018 Acura MDX SH-AWD w/Technology Package,Acura,AUTOMATIC,2018,Basque Red Pearl II,51595,Parchment leather
2018 Acura MDX SH-AWD w/Technology Package,Acura,AUTOMATIC,2018,Basque Red Pearl II,51595,Parchment leather
