Name,VIN,Year,Price,Miles,Exterior Color,Interior Color,Seller Name,Seller Phone,Transmission,Drivetrain
2018 Audi Q3 2.0 TFSI Premium Plus quattro AWD,WA1JCCFSXJR016400,2018,43400,,Utopia Blue metallic,Black,Zimbrick Inc,608-620-7188,,All Wheel Drive
2018 Audi Q3 2.0 TFSI Premium Plus quattro AWD,WA1JCCFS1JR019072,2018,43025,,Brilliant Black,Black,Zimbrick Inc,608-620-7188,,All Wheel Drive
2018 Audi Q3 2.0 TFSI Premium Plus quattro AWD,WA1JCCFS9JR002603,2018,42450,,Brilliant Black,Black,Zimbrick Inc,608-620-7188,,All Wheel Drive
2018 Audi Q3 2.0 TFSI Premium quattro AWD,WA1ECCFS4JR022209,2018,39030,,Cortina White,Black,Zimbrick Inc,608-620-7188,Automatic,
2018 Audi Q3 2.0 TFSI Premium Plus quattro AWD,WA1JCCFS8JR020591,2018,41700,,Brilliant Black,Black,Zimbrick Inc,608-620-7188,,All Wheel Drive
2018 Audi Q3 2.0 TFSI Premium Plus quattro AWD,WA1JCCFS0JR021718,2018,41385,,Misano Red pearl effect,Black,Zimbrick Inc,608-620-7188,,All Wheel Drive
2018 Audi Q3 2.0 TFSI Premium Plus quattro AWD,WA1JCCFSXJR016414,2018,42825,,Cortina White,Chestnut Brown,Zimbrick Inc,608-620-7188,,All Wheel Drive
2018 Audi Q3 2.0 TFSI Premium quattro AWD,WA1ECCFS2JR021785,2018,39835,,Daytona Gray pearl effect,Rock Gray,Zimbrick Inc,608-620-7188,Automatic,
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS5JR027952,2018,,,Brilliant black,BLACK,Zimbrick Audi,608-258-4000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFSXJR028031,2018,,,Daytona gray pearl,BLACK,Zimbrick Audi,608-258-4000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS3JR028002,2018,,,Glacier white metallic,CHESTNUT BROWN,Zimbrick Audi,608-258-4000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS9JR021958,2018,43625,,Daytona Gray Pearl Effect,BLACK,Napletons Audi,(815) 580-2003,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFSXJR016445,2018,43400,,Utopia Blue Metallic,CHESTNUT BROWN,Napletons Audi,(815) 580-2003,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS7JR019349,2018,41500,,Daytona Gray Pearl Effect,BLACK,Napletons Audi,(815) 580-2003,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS9JR016436,2018,43400,,Florett Silver Metallic,BLACK,Napletons Audi,(815) 580-2003,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS7JR016208,2018,42825,,Brilliant Black,CHESTNUT BROWN,Napletons Audi,(815) 580-2003,,All Wheel Drive
2018 Audi Q3 2.0T SUV,WA1JCCFS6JR030794,2018,,,Brilliant Black,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS7JR018525,2018,44000,,Daytona Gray Pearl Effect,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS1JR011408,2018,,,Brilliant Black,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS2JR021784,2018,42625,,Glacier White Metallic,Chestnut Brown,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS4JR012388,2018,42185,,Cuvee Silver Metallic,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS0JR012131,2018,,,Utopia Blue Metallic,Rock Gray,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS5JR006826,2018,43150,,Utopia Blue Metallic,Rock Gray,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS2JR001440,2018,40699,,Mythos Black Metallic,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS7JR000039,2018,43275,,Utopia Blue Metallic,Rock Gray,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS1JR012381,2018,,,Daytona Gray Pearl Effect,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS2JR011062,2018,41730,,Glacier white metallic,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS4JR006753,2018,,,Brilliant black,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS8JR010840,2018,43230,,Glacier White Metallic,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS6JR011212,2018,41730,,Daytona gray pearl,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS6JR021870,2018,,,Daytona gray pearl,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS4JR013539,2018,40875,,Glacier white metallic,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS7JR011445,2018,41155,,Brilliant black,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1ECCFS0JR026077,2018,,,Daytona gray pearl,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,Automatic,
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS1JR028242,2018,,,Glacier white metallic,Chestnut brown,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS7JR024681,2018,,,Brilliant black,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS8JR030683,2018,,,Florett Silver,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS0JR024702,2018,40525,,Glacier white metallic,Chestnut brown,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS5JR024226,2018,40525,,Daytona gray pearl,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS6JR030262,2018,,,Glacier white metallic,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1ECCFS2JR024847,2018,36850,,Brilliant black,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,Automatic,
2018 Audi Q3 2.0T Sport Premium SUV,WA1ECCFS5JR024793,2018,,,Daytona gray pearl,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,Automatic,
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS0JR024151,2018,,,Glacier white metallic,Chestnut brown,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS4JR027523,2018,,,Glacier white metallic,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFS6JR027944,2018,,,Glacier white metallic,Black,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Sport Premium SUV,WA1JCCFSXJR027610,2018,,,Glacier white metallic,Chestnut brown,INTERNATIONAL AUTOS GROUP,414-543-3000,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS7JR020887,2018,46735,,Nardo Gray,BLACK,Audi Milwaukee,(888) 692-8315,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS5JR011704,2018,,,Glacier White Metallic,BLACK,Audi Milwaukee,888-692-8315,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS8JR018758,2018,42000,,Utopia Blue Metallic,CHESTNUT BROWN,Audi Milwaukee,(888) 692-8315,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS6JR014112,2018,44500,,Misano Red Pearl Effect,CHESTNUT BROWN,Audi Milwaukee,(888) 692-8315,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS7JR014197,2018,44500,,Misano Red Pearl Effect,CHESTNUT BROWN,Audi Milwaukee,(888) 692-8315,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFS1JR013921,2018,42550,,Daytona Gray Pearl Effect,BLACK,Audi Milwaukee,(888) 692-8315,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFSXJR012105,2018,43275,,Mythos Black Metallic,BLACK,Audi Milwaukee,(888) 692-8315,,All Wheel Drive
2018 Audi Q3 2.0T Premium Plus SUV,WA1JCCFSXJR012072,2018,41165,,Daytona gray pearl,BLACK,Audi Milwaukee,(888) 692-8315,,All Wheel Drive
