name,VIN,year,price,miles,Exterior Color,Interior Color,seller_name,seller_phone,Transmission,Drivetrain
2016 Ford Explorer XLT SUV,1FM5K8D80GGC64816,2016,32636,16300,,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Focus SE Sedan,1FADP3F21FL253767,2015,11747,23304,Tectonic,MEDIUM LIGHT STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Manual,Front Wheel Drive
2015 Ford Escape SE SUV,1FMCU9GX2FUA67396,2015,16998,39638,Ruby Red Metallic Tinted Clearcoat,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape SE SUV,1FMCU9G92FUA90713,2015,16729,39444,Oxford White,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape SE SUV,1FMCU9G93FUA90056,2015,17361,31670,Ruby Red Metallic Tinted Clearcoat,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape SE SUV,1FMCU9G98FUB18420,2015,17325,39946,Ruby Red Metallic Tinted Clearcoat,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape SE SUV,1FMCU9GX4FUA76505,2015,16498,48272,White Platinum Metallic Tri-Coat,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape SE SUV,1FMCU9G99FUA82804,2015,15798,53392,Magnetic,MEDIUM LIGHT STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2016 Ford Escape SE SUV,1FMCU9GX5GUB95665,2016,19198,21406,Ruby Red Tinted,GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2016 Ford Escape SE SUV,1FMCU9GX3GUB14064,2016,18698,23707,Ingot Silver,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2016 Ford Escape SE SUV,1FMCU9GXXGUA95903,2016,19296,31162,Shadow Black,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Escape SE SUV,1FMCU9G98HUB08375,2017,18879,31157,Shadow Black,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Escape SE SUV,1FMCU9G99HUB67211,2017,19181,28140,Magnetic,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Escape SE SUV,1FMCU9GDXHUE31315,2017,22462,2117,Oxford White,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Escape SE SUV,1FMCU9G95HUA95665,2017,17614,41406,Ingot Silver,MEDIUM LIGHT STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Escape SE SUV,1FMCU9GD4HUE75892,2017,22856,2154,Shadow Black,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Escape SE SUV,1FMCU0G95HUE31312,2017,22989,2187,Lightning Blue,KL/,Kayser Automotive Group,888-276-6308 888-276-9145,,Front Wheel Drive
2017 Ford Escape SE SUV,1FMCU9G93HUB67110,2017,18458,34404,White Gold Metallic,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Transit-250 w/Sliding Pass-Side Cargo-Door Van High Roof Extended-Length Cargo Van,1FTYR3XM1HKB27648,2017,30398,31533,Oxford White,PEWTER,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Rear Wheel Drive
2017 Ford Transit-250 XL Van Low Roof Cargo Van,1FTYR2ZM6HKA75120,2017,23749,18632,Oxford White,PEWTER,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Rear Wheel Drive
2017 Ford Transit-150 w/Sliding Pass-Side Cargo-Door Van Medium Roof Cargo Van,1FTYE2CM6HKB15426,2017,23810,25405,Oxford White,PEWTER,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Rear Wheel Drive
2014 Ford F-150 Platinum Truck SuperCrew Cab,1FTFW1EF0EFB58225,2014,30949,62391,Oxford White,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2009 Ford F-150 Lariat Truck Super Cab,1FTPX14V79FB41373,2009,14349,136438,Razor Red Metallic w Tinted Clearcoat,TAN/CAMEL,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2012 Ford F-150 Lariat Truck SuperCrew Cab,1FTFW1CT0CFB51619,2012,22994,62492,Copper,PALE ADOBE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Rear Wheel Drive
2014 Ford F-150 Lariat Truck SuperCrew Cab,1FTFW1EF4EKE91339,2014,31598,36584,Sterling Gray Metallic,STEEL GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 Lariat Truck SuperCrew Cab,1FTEW1EG3FFA50980,2015,37449,48851,Tuxedo Black Metallic,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 King Ranch Truck SuperCrew Cab,1FTEW1EG3FFC27866,2015,39947,45600,Bronze Fire Metallic,MESA,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 Lariat Truck,1FTFX1EF9GFB35462,2016,38874,7080,Shadow Black,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford Explorer SUV,1FM5K8F85HGD24166,2017,32792,21339,Shadow Black,EBONY BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2012 Ford F-150 FX4 Truck SuperCrew Cab,1FTFW1ET4CKD93141,2012,20898,104380,Vermillion Red,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2012 Ford Explorer XLT SUV,1FMHK7D86CGA65075,2012,12988,135334,White Suede,MEDIUM LIGHT STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2012 Ford Explorer XLT SUV,1FMHK8D85CGA80737,2012,14147,120080,,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2014 Ford Explorer XLT SUV,1FM5K8D82EGB77769,2014,20249,74741,Sterling Gray Metallic,MEDIUM LIGHT STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2014 Ford Explorer XLT SUV,1FM5K8D89EGB17004,2014,24898,36879,Ingot Silver Metallic,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Explorer XLT SUV,1FM5K8D81FGA76434,2015,26775,35006,Oxford White,MEDIUM LIGHT STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Explorer XLT SUV,1FM5K7D87FGB79027,2015,23625,33980,Magnetic,MEDIUM LIGHT STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2015 Ford Explorer XLT SUV,1FM5K8D85FGB08785,2015,25649,33690,White Platinum Metallic Tri-Coat,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Expedition EL XLT SUV,1FMJK1JT0HEA39923,2017,40798,23455,Magnetic,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford Expedition EL Limited SUV,1FMJK2ATXHEA75740,2017,42998,23874,Shadow Black,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford Expedition SUV,1FMJU1JT8HEA41820,2017,37172,29198,Shadow Black,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford Expedition XLT SUV,1FMJU1JT2FEF35670,2015,33598,31391,Tuxedo Black Metallic,DUNE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford Expedition XLT SUV,1FMJU1JT0HEA03806,2017,29897,49497,Shadow Black,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford Expedition Limited SUV,1FMJU2AT8HEA53200,2017,38999,29933,Shadow Black,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,,4-Wheel Drive
2014 Ford Escape Titanium SUV,1FMCU9J91EUD39803,2014,18899,32214,Tuxedo Black,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape Titanium SUV,1FMCU9JX2FUA74969,2015,19725,26101,Tuxedo Black,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape Titanium SUV,1FMCU0JX1FUA22955,2015,18998,24961,Ruby Red Tinted,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2015 Ford Escape Titanium SUV,1FMCU9J94FUB04619,2015,19798,43989,Ruby Red Metallic Tinted Clearcoat,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape Titanium SUV,1FMCU9JX2FUB18162,2015,20524,27730,White Platinum Metallic Tri-Coat,MEDIUM LIGHT STONE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Escape Titanium SUV,1FMCU9J95HUF03347,2017,27957,2743,Ingot Silver Metallic,WB/BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2013 Ford Escape SE 4WD SUV,1FMCU9GX3DUB79136,2013,10814,107603,Deep Impact Blue,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2014 Ford Escape SE SUV,1FMCU9GX4EUB94259,2014,9899,124761,Ingot Silver Metallic,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape SE SUV,1FMCU9G93FUB06840,2015,18298,41829,Magnetic,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Escape SE SUV,1FMCU9GX9FUB08025,2015,16898,35263,Magnetic,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2016 Ford Fusion SE Sedan,3FA6P0H77GR326885,2016,13489,42519,Oxford White,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2016 Ford Fusion SE Sedan,3FA6P0HD8GR170880,2016,16274,27685,Deep Impact Blue,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2016 Ford Fusion SE Sedan,1FA6P0H70G5122187,2016,14124,33635,Deep Impact Blue,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2016 Ford Fusion SE Sedan,1FA6P0HD8G5117888,2016,14975,29865,Ruby Red Metallic Tinted Clearcoat,EBONY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2017 Ford Fusion SE Sedan,3FA6P0HD5HR378006,2017,18261,1829,Red,BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2016 Ford Focus Titanium Hatchback,1FADP3N24GL293697,2016,14994,31100,Kona Blue,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automated Manual,Front Wheel Drive
2015 Ford Fusion S Sedan,3FA6P0G78FR221014,2015,11111,45457,Tuxedo Black,EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Front Wheel Drive
2017 Ford Focus SE Sedan,1FADP3F24HL323331,2017,14504,2069,Oxford White,YL/,Kayser Automotive Group,888-276-6308 888-276-9145,,
2014 Ford Flex SEL SUV,2FMHK6C8XEBD36600,2014,21998,39855,Mineral Gray Metallic,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2015 Ford Flex SEL SUV,2FMHK6C80FBA03999,2015,25468,44932,Ruby Red Tinted,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive
2017 Ford Flex SEL SUV,2FMHK6C81HBA04274,2017,26248,15287,Oxford White,CHARCOAL BLACK,Kayser Automotive Group,888-276-6308 888-276-9145,,All Wheel Drive
2011 Ford F-550 Chassis Truck Regular Cab,1FDUF5HT6BEB27042,2011,29995,61740,Vermillion Red,GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,,
2011 Ford F-350 Truck Crew Cab,1FT8W3BT4BEC73930,2011,30998,118926,Vermillion Red,ADOBE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2008 Ford F-650SD Truck,3FRNF65M78V650873,2008,19995,228337,White,GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,,
2017 Ford F-350 Truck Crew Cab,1FT8W3DT6HEC78830,2017,59660,13686,Shadow Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EP3GFB53074,2016,31349,29965,Green Gem Metallic,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 XLT SuperCrew,1FTFW1EG3GFA73956,2016,28595,40096,Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1E81GKE09650,2016,29999,14960,Race Red,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2016 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EP0GFA84585,2016,32330,29750,Shadow Black,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT SuperCrew,1FTEW1E86HKD12137,2017,26995,21749,Shadow Black,DARK EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT SuperCrew,1FTEW1E85HKD27146,2017,27995,13149,Blue Jeans Metallic,GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT SuperCrew,1FTEW1E82HFC37588,2017,27995,20630,Brown,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EG6HKC66493,2017,32239,15404,Blue Jeans Metallic,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT Truck SuperCab Styleside,1FTEX1E8XHFA14020,2017,30587,12239,Blue Jeans Metallic,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EF3HFC37341,2017,29724,19655,Shadow Black,DARK EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EG1HFA87884,2017,31498,13766,Shadow Black,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EF6HFB23477,2017,29725,17292,Bronze,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1E86HKC75705,2017,29676,15267,Oxford White,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EF5HKD11138,2017,29708,15896,Race Red,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2017 Ford F-150 XLT Truck SuperCrew Cab,1FTEW1EF6HFC83472,2017,36598,6157,Oxford White,UG/GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2014 Ford F-150 STX,1FTEX1CM4EFC98837,2014,19995,28059,Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,Rear Wheel Drive
2014 Ford F-150 Truck SuperCrew Cab,1FTFW1ET1EFB95919,2014,34618,20499,Blue Jeans,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2014 Ford F-150 Truck SuperCrew Cab,1FTFW1ET8EKD81478,2014,25866,48774,Tuxedo Black Metallic,STEEL GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 Truck SuperCab Styleside,1FTEX1EP5FKD36303,2015,29747,21369,Tuxedo Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 Truck SuperCrew Cab,1FTEW1EG0FFA52928,2015,43468,17795,,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 Truck SuperCrew Cab,1FTEW1EF4FFC20366,2015,30798,37729,Race Red,MEDIUM EARTH GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
2015 Ford F-150 Truck SuperCrew Cab,1FTEW1EG0FKE04834,2015,27972,57662,Tuxedo Black,,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,4-Wheel Drive
