name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain
2018 Audi A8 L 3.0T,Audi,Black,87055,Audi North Shore,(414) 375-4847,3.5,14,,75,Mythos Black Metallic,Black,8-Speed Automatic,AWD
2018 Audi A8 L 3.0T,Audi,Gray,85475,Bergstrom Imports on Victory Lane,(877) 245-2925,4.3,390,,97,Monsoon Gray Metallic,Black,8-Speed Automatic,AWD
2017 Audi A8 Sport,Audi,White,92450,Audi Hoffman Estates,(847) 961-4989,4.9,1138,,100,Glacier_White,,8-Speed Automatic w/OD,AWD
2016 Audi A8 L 3.0 TDI,Audi,Silver,88725,The Audi Exchange,(847) 739-9944,4.9,558,,102,Florett Silver Metallic,Black,8-Speed Automatic,AWD
2018 Audi A8 L 3.0T,Audi,Black,85475,The Audi Exchange,(847) 739-9944,4.9,558,,102,Brilliant Black,Black,8-Speed Automatic,AWD
2018 Audi A8 L 3.0T,Audi,White,85475,The Audi Exchange,(847) 739-9944,4.9,558,,102,Ibis White,Black,8-Speed Automatic,AWD
2018 Audi A8 L 3.0T,Audi,White,86950,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Glacier White Metallic,Black,8-Speed Automatic,AWD
2018 Audi A8 L 3.0T,Audi,Blue,85950,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Moonlight Blue Metallic,Nougat Brown,8-Speed Automatic,AWD
2016 Audi A8 L 3.0 TDI,Audi,White,89925,Audi Morton Grove,(888) 510-2233,4.5,213,,109,Glacier White Metallic,Nougat Brown,8-Speed Automatic,AWD
2017 Audi A8 Sport,Audi,Gray,89152,Audi Westmont,(877) 457-9706,4.8,354,,115,Oolong Gray Metallic,Black,8-Speed Automatic w/OD,AWD
2017 Audi A8 4.0T,Audi,Black,94975,Audi Orland Park,(708) 390-0186,4.7,248,,131,Mythos Black Metallic,Black,8-Speed Automatic with Tiptronic,quattro
2018 Audi A8 L 3.0T,Audi,White,87675,Lujack's Northpark Autoplaza,(888) 481-5702,3.5,5,,119,Ibis White,Nougat Brown,8-Speed Automatic,AWD
2018 Audi A8 Executive,Audi,White,81995,Grossinger Motors,(888) 267-0011,4.8,51,,178,Glacier White Metallic,Black,8-Speed Automatic w/OD,AWD
