name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain
2015 Audi Q7 3.0T Premium Plus quattro,Audi,Black,30995,Schoepp Motors West,(608) 729-3822,4.8,1499,54012,4,Black,,8-Speed Automatic,AWD
2015 Audi Q7 3.0L TDI Premium Plus,Audi,Blue,33976,Rock County Honda,(608) 554-2800,4.9,365,44049,35,Blue,,8-SPEED A/T,All Wheel Drive
2014 Audi Q7 3.0L TDI Prestige,Audi,Black,38900,Midwest Highline,(815) 516-8789,,,44000,62,Charcoal,Black,8-SPEED A/T,All Wheel Drive
2017 Audi Q7 3.0T Premium Plus quattro,Audi,Silver,49500,Lexus of Brookfield,(262) 510-0474,4.8,174,20741,65,Florett Silver Metallic,Rock Gray,8-Speed Automatic,AWD
2014 Audi Q7 3.0 TDI Premium Plus quattro,Audi,Gray,39991,Hall Volkswagen Mazda,(888) 450-4176,4.6,56,19607,65,Daytona Gray Pearl,Black,8-Speed Automatic,AWD
2015 Audi Q7 3.0 TDI Premium Plus quattro,Audi,Gray,33995,"AutoSource Motors, Inc.",(414) 455-6995,4.8,156,31556,79,Graphite Gray Metallic,Black,8-Speed Automatic,AWD
2014 Audi Q7 3.0 TDI Premium Plus quattro,Audi,Silver,31988,"AutoSource Motors, Inc.",(414) 455-6995,4.8,156,29869,79,Ice Silver Metallic,Black,8-Speed Automatic,AWD
2014 Audi Q7 3.0 TDI Premium Plus quattro,Audi,Black,28995,"AutoSource Motors, Inc.",(414) 455-6995,4.8,156,60671,79,Midnight Black,Black,8-Speed Automatic,AWD
2014 Audi Q7 3.0 TDI Premium quattro,Audi,Gray,27995,"AutoSource Motors, Inc.",(414) 455-6995,4.8,156,64327,79,Daytona Gray Pearl,Black,8-Speed Automatic,AWD
2014 Audi Q7 3.0 TDI Prestige quattro,Audi,White,30990,"AutoSource Motors, Inc.",(414) 455-6995,4.8,156,64006,79,Glacier White Metallic,Cardamom,8-Speed Automatic,AWD
2013 Audi Q7 3.0 TDI Premium Plus quattro,Audi,Other,28995,"AutoSource Motors, Inc.",(414) 455-6995,4.8,156,45191,79,Lava / Gray Pearl,Black,8-Speed Automatic,AWD
2014 Audi Q7 3.0T S Line Prestige quattro,Audi,Black,33500,BMW and Mazda of Crystal Lake,(815) 261-4475,4.7,325,52198,82,Black,Black,8-Speed Automatic,AWD
2015 Audi Q7 3.0 TDI Premium quattro,Audi,White,33499,Midwest Motors,(847) 961-4998,4.9,150,80437,91,Glacier White Metallic,Espresso,8-Speed Automatic,AWD
2015 Audi Q7 3.0 TDI Premium,Audi,White,42988,Motor Werks - Barrington Auto Mall,(847) 829-0114,4.8,1564,29653,93,Glacier White Metallic,Black,Automatic,AWD
2015 Audi Q7 3.0 TDI Premium quattro,Audi,Gray,40993,"Kolosso Chrysler, Jeep, Dodge, RAM",(920) 779-1201,4.7,412,44188,96,Daytona Gray Pearl,Black,8-Speed Automatic,AWD
2014 Audi Q7 3.0T Premium Plus,Audi,Silver,31990,Knauz Auto Park,(847) 371-3360,4.8,907,36043,97,Ice Silver Metallic,,8-SPEED A/T,All Wheel Drive
2008 Audi Q7 3.6L Premium,Audi,Beige,14580,Audi Hoffman Estates,(847) 961-4942,4.9,1138,77891,100,Bahia Beige Metallic,Cardamom Beige,6-Speed Automatic w/OD,AWD
2014 Audi Q7 3.0 TDI Premium Plus quattro,Audi,Black,31000,Fox Valley Volkswagen in Schaumburg,(888) 478-9286,4.8,106,58199,100,Midnight Black,Black,8-Speed Automatic,AWD
2017 Audi Q7 Premium Plus,Audi,Black,58880,Audi Hoffman Estates,(847) 961-4947,4.9,1138,6740,100,Night Black,Black,Automatic,AWD
2014 Audi Q7 3.0 TDI Premium,Audi,White,35380,Audi Hoffman Estates,(847) 961-4947,4.9,1138,47284,100,Glacier White Metallic,Black,8-Speed Automatic w/OD,AWD
2015 Audi Q7 3.0T Premium Plus,Audi,Black,33880,Audi Hoffman Estates,(847) 961-4942,4.9,1138,42427,100,Orca Black Metallic,Black,Automatic,AWD
2015 Audi Q7 3.0 TDI Premium Plus quattro,Audi,Gray,34495,M & I Motors,(847) 239-5796,4.6,201,51772,101,Daytona Gray Pearl,Black,8-Speed Automatic,AWD
2014 Audi Q7 3.0 TDI Premium Plus quattro,Audi,Blue,28495,M & I Motors,(847) 239-5796,4.6,201,77231,101,Atlantis Blue Metallic,Cardamom,8-Speed Automatic,AWD
2015 Audi Q7 3.0T S Line Prestige quattro,Audi,Brown,40987,The Audi Exchange,(847) 739-9945,4.9,558,38996,102,Teak Brown Metallic,Cardamom,8-Speed Automatic,AWD
