name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain
2018 Toyota Avalon Touring,Toyota,Blue,35748,Smart Motors,(608) 318-4174,4.7,428,,1,Blue,,6-Speed Automatic w/OD,FWD
2018 Toyota Avalon Limited,Toyota,White,42058,Toyota of Brookfield,(262) 558-4497,4.8,58,,64,Blizzard Pearl,Black,6-Speed Automatic,FWD
2018 Toyota Avalon XLE Premium,Toyota,Gray,37833,Toyota of Brookfield,(262) 558-4497,4.8,58,,64,Magnetic Gray,Black,6-Speed Automatic,FWD
2018 Toyota Avalon Limited,Toyota,Beige,34211,Russ Darrow Toyota Scion,(888) 307-2932,4.8,587,,66,Creme Brulee Mica,Almond,6-Speed Automatic,FWD
2018 Toyota Avalon XLE Premium,Toyota,Red,30719,Russ Darrow Toyota Scion,(888) 307-2932,4.8,587,,66,Ooh La La Rouge Mica,Almond,6-Speed Automatic,FWD
2018 Toyota Avalon XLE Premium,Toyota,Gray,30719,Russ Darrow Toyota Scion,(888) 307-2932,4.8,587,,66,Magnetic Gray,,6-Speed Automatic,FWD
2018 Toyota Avalon Limited,Toyota,Black,34211,Russ Darrow Toyota Scion,(888) 307-2932,4.8,587,,66,Midnight Black,,6-Speed Automatic,FWD
2018 Toyota Avalon Limited,Toyota,Red,35062,Heiser Toyota,(414) 979-8442,4.8,780,,70,Ooh La La Rouge Mica,Almond,Automatic 6-Speed,Front Wheel Drive
2018 Toyota Avalon XLE,Toyota,White,29969,Heiser Toyota,(414) 979-8442,4.8,780,,70,Blizzard Pearl,Almond,Automatic 6-Speed,Front Wheel Drive
2018 Toyota Avalon XLE,Toyota,Black,29452,Heiser Toyota,(414) 979-8442,4.8,780,,70,Midnight Black Metallic,Black,Automatic 6-Speed,Front Wheel Drive
2018 Toyota Avalon Limited,Toyota,Gray,38963,Wilde Toyota,(414) 312-4813,4.8,4010,,71,Magnetic Gray Metallic,Light Gray,6-Speed Automatic,FWD
2018 Toyota Avalon Limited,Toyota,Silver,38797,Wilde Toyota,(414) 312-4813,4.8,4010,,71,Celestial Silver Metallic,Light Gray,6-Speed Automatic,FWD
2018 Toyota Avalon Limited,Toyota,Silver,38953,Wilde Toyota,(414) 312-4813,4.8,4010,,71,Celestial Silver Metallic,Light Gray,6-Speed Automatic,FWD
2018 Toyota Avalon Limited,Toyota,Red,38797,Wilde Toyota,(414) 312-4813,4.8,4010,,71,Ooh La La Rouge Mica,Almond,6-Speed Automatic,FWD
2018 Toyota Avalon XLE Plus,Toyota,Black,33352,Wilde Toyota,(414) 312-4813,4.8,4010,,71,Midnight Black Metallic,Black,6-Speed Automatic,FWD
2018 Toyota Avalon Touring,Toyota,Silver,31875,Andrew Toyota,(888) 419-6495,4.9,1438,,76,Celestial Silver Metallic,Light Gray,6-SPEED A/T,Front Wheel Drive
2018 Toyota Avalon Limited,Toyota,White,35025,Don Jacobs Toyota,(877) 848-2307,4.9,683,,76,Blizzard Pearl,Almond,6-Speed Automatic,FWD
2018 Toyota Avalon Limited,Toyota,White,35165,Andrew Toyota,(888) 419-6495,4.9,1438,,76,Blizzard Pearl,Almond,6-SPEED A/T,Front Wheel Drive
2018 Toyota Avalon Limited,Toyota,Silver,34855,Don Jacobs Toyota,(877) 848-2307,4.9,683,,76,Celestial Silver Metallic,Light Gray,6-Speed Automatic,FWD
2018 Toyota Avalon Limited,Toyota,Other,34615,Don Jacobs Toyota,(877) 848-2307,4.9,683,,76,,Almond,6-Speed Automatic,FWD
2018 Toyota Avalon Limited,Toyota,Black,34975,Garber Fox Lake Toyota,(847) 978-0011,4.9,295,,79,Midnight Black Metallic,Black,6-Speed Automatic,FWD
