name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain
2017 Ford Transit-150 Base,Ford,White,24986,Kayser Ford Lincoln,(608) 807-5359,4.6,382,25405,2,Oxford White,Pewter,6-Speed Automatic,RWD
2009 smart ForTwo Pure,smart,Red,4814,Kayser Ford Lincoln,(608) 807-5359,4.6,382,43077,2,Rally Red,Gray,5-Speed Automatic with Auto-Shift,RWD
2015 Ford F-150,Ford,Black,29907,Kayser Ford Lincoln,(608) 807-5359,4.6,382,57662,2,Black,,6-Speed Automatic,4WD
2014 BMW M235 i,BMW,Gray,26995,German Auto House,(608) 467-4941,5,1,52081,2,Gray,Black,8-Speed Automatic,RWD
2016 Toyota Sienna LE,Toyota,Blue,24500,Smart Motors,(608) 318-4181,4.7,427,15591,4,Shoreline Blue Pearl,Ash,6-Speed Automatic w/OD,FWD
2017 Hyundai Veloster Base,Hyundai,White,12995,Smart Motors,(608) 318-4181,4.7,427,47689,4,Century White,Black,6-Speed Auto-Shift Manual w/OD,FWD
2014 Toyota Sienna XLE,Toyota,Black,23900,Smart Motors,(608) 318-4181,4.7,427,35351,4,Black,,6-Speed Automatic w/OD,FWD
2015 Toyota RAV4 XLE,Toyota,Gray,19988,Smart Motors,(608) 318-4181,4.7,427,39743,4,Gray,Charcoal,6-Speed Automatic w/OD,AWD
2016 Dodge Challenger SRT Hellcat,Dodge,Orange,55487,Don Miller West,(608) 467-0727,5,125,830,4,Go Mango!,Black,8-Speed Automatic,RWD
2015 Toyota 4Runner SR5 Premium,Toyota,Gray,23900,Smart Motors,(608) 318-4181,4.7,427,162699,4,Gray,Black,5-Speed Automatic w/OD,4WD
2016 Toyota RAV4 Hybrid XLE,Toyota,Black,24800,Smart Motors,(608) 318-4236,4.7,427,19610,4,Black,Charcoal,1-Speed CVT w/OD,AWD
2015 Lexus RX 450h,Lexus,Gray,36500,Smart Motors,(608) 318-4181,4.7,427,34649,4,Gray,,1-Speed CVT w/OD,AWD
2007 Chevrolet Colorado LT w/1LT,Chevrolet,Red,8995,Smart Motors,(608) 318-4181,4.7,427,55766,4,Deep Ruby Metallic,Very Dark Pewter,4-Speed Automatic w/OD,RWD
2017 Toyota Camry XLE,Toyota,White,23000,Smart Motors,(608) 318-4236,4.7,427,21986,4,White,,6-Speed Automatic w/OD,FWD
2015 Toyota Camry SE,Toyota,Gray,18500,Smart Motors,(608) 318-4236,4.7,427,33006,4,Gray,Black,6-Speed Automatic w/OD,FWD
2016 Kia Optima LX,Kia,Gray,14900,Smart Motors,(608) 318-4181,4.7,427,46353,4,Moss Gray,Beige,6-Speed Automatic w/OD,FWD
2017 Nissan GT-R Premium,Nissan,Black,84995,Fields Jaguar Land Rover Volvo Cars Madison,(608) 216-2301,4.4,21,8400,5,Jet Black,Tan,6-Speed Automatic with Auto-Shift,AWD
2014 Nissan Rogue Select S,Nissan,Gray,14998,CarMax Madison,(608) 286-3923,4.3,3,34832,5,Gray,Black,1-Speed CVT w/OD,AWD
2005 Ford Excursion XLT 4WD,Ford,Silver,14999,608 Motorsports,(608) 729-3815,5,47,85119,5,Silver Birch Metallic,Gray,4-SPEED A/T,Four Wheel Drive
2015 Mercedes-Benz  ML 350,Mercedes-Benz,Gray,31998,CarMax Madison,(608) 286-3923,4.3,3,36642,5,Gray,Black,7-Speed Automatic w/OD,AWD
2014 Volkswagen Jetta Auto SEL PZEV,Volkswagen,Black,12495,Zimbrick Volkswagen of Madison Preowned,(888) 412-7922,4.7,3,32935,5,Black Uni,Titan Black,6-Speed Automatic,FWD
2014 Nissan Murano SV,Nissan,Black,18599,CarMax Madison,(608) 286-3923,4.3,3,30444,5,Black,Black,1-Speed CVT w/OD,AWD
2012 Lexus IS 350 4dr Sdn AWD,Lexus,Silver,17995,608 Motorsports,(608) 729-3815,5,47,64720,5,Silver,Black,6-SPEED A/T,All Wheel Drive
2013 MINI Coupe Cooper S,MINI,Black,13599,CarMax Madison,(608) 286-3923,4.3,3,42483,5,Black,Black,6-Speed Manual,FWD
2016 Nissan Rogue S,Nissan,Black,18998,CarMax Madison,(608) 286-3923,4.3,3,20618,5,Black,Black,1-Speed CVT w/OD,AWD
