name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2006 Audi A6 3.2 quattro,Audi,Silver,8479,Kayser Ford Lincoln,(608) 807-5359,4.7,399,105855,2,Silver,Beige,6-Speed Automatic,AWD,WAUDH74F36N132034
2012 Audi A4 2.0T Premium quattro,Audi,Silver,17599,CarMax Madison,(608) 286-3923,4.3,3,39195,5,Silver,Gray,8-Speed Automatic w/Manual Shift,AWD,WAUBFAFL8CN011895
2016 Audi Q5 2.0T Premium Plus quattro,Audi,Black,32950,Lexus of Madison,(608) 478-2660,5,68,11808,6,Brilliant Black,Black,8-Speed Automatic,AWD,WA1L2AFPXGA004007
2015 Audi A6 2.0T Premium Plus quattro,Audi,Black,27950,Lexus of Madison,(608) 478-2660,5,68,24665,6,Black,,8-Speed Automatic,AWD,WAUGFAFC1FN005723
2014 Audi A4 Premium,Audi,White,17299,Wilde East Towne Honda,(608) 467-1265,4.9,2693,71411,7,White,,8-SPEED A/T,All Wheel Drive,WAUBFAFL1EN001101
2014 Audi A6 2.0T Premium Plus,Audi,Gray,25889,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303,20324,7,Oolong Gray Metallic,Black,8-Speed A/T,All Wheel Drive,WAUGFAFCXEN120108
2017 Audi A4 Season of Audi Premium,Audi,Gray,31400,Zimbrick Nissan,(608) 338-0718,4.6,111,2769,7,Manhattan Gray Metallic,Atlas Beige/Gray,7-SPEED A/T,All Wheel Drive,WAUDNAF45HN046972
2015 Audi A3 2.0T Premium Plus quattro,Audi,Gray,19577,Russ Darrow Mazda of Madison,(608) 338-1572,4.8,156,45209,7,Monsoon Gray Metallic,Titanium,6-Speed Automatic with Auto-Shift,AWD,WAUEFGFF9F1023009
2017 Audi Q3 2.0T Premium quattro,Audi,Black,26449,Kayser Chrysler Center,(608) 338-1543,4.5,91,21894,22,Brilliant Black,Black,6-Speed Automatic,AWD,WA1ECCFS4HR015934
2017 Audi Q5 2.0T Premium quattro,Audi,Blue,34000,Griffin Ford Lincoln Fort Atkinson,(920) 542-4359,4.9,79,28062,29,Moonlight Blue Metallic,Titanium Gray / Steel Gray,8-Speed Automatic,AWD,WA1C2AFP9HA099371
2015 Audi Q7 3.0L TDI Premium Plus,Audi,Blue,33423,Rock County Honda,(608) 554-2800,4.9,366,44294,33,Blue,,8-SPEED A/T,All Wheel Drive,WA1LMAFE4FD021827
2012 Audi Q5 2.0T Premium quattro,Audi,Gray,17803,Bryden Motors,(608) 713-4799,4.2,15,63613,43,Daytona Gray Pearl,Cardamom,8-Speed Automatic,AWD,WA1LFAFP8CA129585
2014 Audi Q7 3.0L TDI Premium Plus,Audi,Black,34896,Kunes Country Chrysler Dodge Jeep Ram of Elkhorn,(262) 607-8408,4.8,276,57292,51,Black,Black,8-SPEED A/T,All Wheel Drive,WA1LMAFE5ED012326
2018 Audi A5 2.0T Premium Plus quattro,Audi,White,53350,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Glacier White Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD,WAUENCF57JA075847
2018 Audi Q3 2.0T Premium Plus,Audi,Gray,41500,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Daytona Gray Pearl Effect,Black,6-Speed Automatic,AWD,WA1JCCFS7JR019349
2016 Audi A6 3.0 TDI Premium Plus quattro,Audi,White,58879,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Ibis White,Black,8-Speed Automatic,AWD,WAUFMAFC7GN000707
2018 Audi A4 2.0T Premium Plus,Audi,Blue,49150,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Moonlight Blue Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD,WAUENAF43JA074898
2018 Audi Q7 3.0T Premium,Audi,White,71345,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Glacier White Metallic,Black,8-Speed Automatic,AWD,WA1VAAF76JD027642
2018 Audi A3 2.0T Premium quattro,Audi,Black,43335,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Brilliant Black / Black Roof,Black,6-Speed Automatic with Auto-Shift,AWD,WAU78LFF8J1041053
2018 Audi A7 3.0T Prestige quattro,Audi,Black,76200,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Mythos Black Metallic,Black,8-Speed Automatic,AWD,WAU23AFC5JN064088
2018 Audi Q3 2.0T Premium Plus,Audi,Blue,43400,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Utopia Blue Metallic,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFSXJR016445
2018 Audi A5 2.0T Premium Plus quattro,Audi,Black,58640,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Mythos Black Metallic / Black Roof,Atlas Beige,7-Speed Automatic with Auto-Shift,AWD,WAUYNGF55JN010170
2018 Audi Q5 2.0T Premium,Audi,Silver,54185,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WA1BNAFYXJ2088178
2018 Audi A4 2.0T Premium Plus,Audi,Red,49150,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Matador Red Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WAUENAF4XJA074722
2018 Audi A4 2.0T Prestige,Audi,Blue,54550,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Scuba Blue Metallic,Nougat Brown / Black,7-Speed Automatic with Auto-Shift,AWD,WAUFNBF43JA127013
2018 Audi Q3 2.0T Premium Plus,Audi,Black,42825,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Brilliant Black,Chestnut Brown,6-Speed Automatic,AWD,WA1JCCFS7JR016208
2018 Audi Q5 2.0T Premium,Audi,Silver,52725,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Florett Silver Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WA1BNAFY5J2099752
2018 Audi S4 3.0T Premium Plus,Audi,Gray,58685,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Daytona Gray Pearl Effect,Black,8-Speed Automatic,AWD,WAUB4AF47JA021868
2018 Audi A6 3.0T Premium quattro,Audi,Gray,62160,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Tornado Gray Metallic,Black,8-Speed Automatic,AWD,WAUG3AFC7JN065328
2015 Audi TT 2.0T quattro,Audi,White,31989,Wheels by RT,(815) 580-3162,5,38,18515,60,Ibis White,Black,6-Speed Automatic with Auto-Shift,AWD,TRUSFAFK8F1000696
2013 Audi S4 3.0T Premium Plus,Audi,Black,23329,Toyota of Brookfield,(262) 558-4486,4.8,62,65950,61,Phantom Black Pearl,Black,7-Speed Automatic with Auto-Shift,AWD,WAUBGAFL0DA200692
2012 Audi S4 3.0 Premium Plus,Audi,Black,22090,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39,77195,61,Phantom Black Pearl,Black / Red,6-Speed Manual,AWD,WAUDGAFL1CA095880
2012 Audi S4 3.0 Premium Plus,Audi,Black,22090,International Porsche of Waukesha,(262) 395-7647,5,4,77195,61,Phantom Black Pearl,Black / Red,6-Speed Manual,AWD,WAUDGAFL1CA095880
2015 Audi A4 2.0T Premium Plus quattro,Audi,Blue,22500,Lexus of Brookfield,(262) 510-0474,4.9,184,40163,62,Dark Blue,Black,8-Speed Automatic,AWD,WAUFFAFL5FN035920
2014 Audi A6 3.0 TDI Premium Plus quattro,Audi,Black,29991,Hall Volkswagen Mazda,(888) 450-4176,4.6,56,18842,62,Phantom Black Pearl,Black,8-Speed Automatic,AWD,WAUFMAFC1EN064271
2016 Audi A6 2.0T Premium quattro,Audi,White,31000,Lexus of Brookfield,(262) 510-0474,4.9,184,39015,62,White,Black,8-Speed Automatic,AWD,WAUFFAFC1GN115538
2014 Audi A6 3.0 TDI Prestige quattro,Audi,Blue,26991,Hall Volkswagen Mazda,(888) 450-4176,4.6,56,61829,62,Moonlight Blue Metallic,Velvet Beige,8-Speed Automatic,AWD,WAUHMAFC7EN032692
2014 Audi Q7 3.0 TDI Premium Plus,Audi,Gray,36991,Hall Volkswagen Mazda,(888) 450-4176,4.6,56,19607,62,Daytona Gray Pearl,Black,8-Speed Automatic,AWD,WA1LMAFE4ED017811
2017 Audi A4 2.0T Premium quattro,Audi,White,29995,Russ Darrow Toyota Scion,(262) 384-4738,4.8,616,18568,64,Ibis White,Black,7-Speed Automatic with Auto-Shift,AWD,WAUANAF45HN052791
2017 Audi A3 Premium,Audi,Other,24288,Van Horn Hyundai of Fond du Lac,(920) 933-8267,4.8,730,2869,66,Chrome,aluminum,7-SPEED A/T,Front Wheel Drive,WAUAUGFF8H1038074
2017 Audi A3 2.0T Premium Plus,Audi,Other,26699,Van Horn Hyundai of Fond du Lac,(920) 933-8267,4.8,730,3031,66,Chrome,aluminum,7-SPEED A/T,Front Wheel Drive,WAUGUGFFXH1041682
2016 Audi S4 3.0T Premium Plus,Audi,Black,41998,Holiday Mazda,(855) 294-9011,4.9,96,22315,67,Brilliant Black,Black,7-Speed Automatic with Auto-Shift,AWD,WAUBGAFL6GA005992
2014 Audi A6 3.0 TDI Prestige quattro,Audi,Black,36998,Holiday Mazda,(855) 294-9011,4.9,96,32904,67,Brilliant Black,Black,8-Speed Automatic,AWD,WAUHMAFC3EN019003
2017 Audi Q5 2.0T Premium quattro,Audi,Black,38498,Holiday Mazda,(855) 294-9011,4.9,96,14776,67,Brilliant Black,Black,8-Speed Automatic,AWD,WA1M2AFP5HA078716
2008 Audi A4 2.0T,Audi,Black,6944,Russ Darrow Mazda of Milwaukee,(888) 364-8375,4.7,337,101184,67,Phantom Black Pearl,Black,6-Speed Automatic with Tiptronic,AWD,WAUDF78E38A018780
2013 Audi TT 2.0T Premium Plus,Audi,Black,27996,Marengo Auto Group,(815) 572-4336,5,20,19266,68,Black,Black,6-SPEED A/T,All Wheel Drive,TRUSFAFK3D1000702
2017 Audi Q5 2.0T Premium quattro,Audi,Black,32996,Russ Darrow Mazda,(414) 269-8762,4.7,433,20855,68,Brilliant Black,Black,8-Speed Automatic,AWD,WA1C2AFP7HA095772
2012 Audi Q5 2.0T Premium Plus quattro,Audi,Black,16911,Ewald Chrysler Jeep Dodge RAM,(414) 377-4903,4.8,337,82725,68,Black,,8-Speed Automatic,AWD,WA1LFAFP9CA138831
2015 Audi A7 3.0T Premium Plus quattro,Audi,Black,37435,International Autos,(414) 269-8729,3.8,56,49532,68,Mythos Black Metallic,Black,8-Speed Automatic,AWD,WAUWGAFC5FN007063
