name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2017 BMW X4 M40i,BMW,White,48997,Zimbrick BMW,(888) 570-3759,4.8,176,7411,2,White,,8-SPEED A/T,All Wheel Drive,5UXXW7C34H0U26831
2018 BMW X1 xDrive28i,BMW,Black,38976,Zimbrick BMW,(888) 237-4721,4.8,176,,2,Black Sapphire Metallic,Black SensaTec,8-SPEED A/T,All Wheel Drive,WBXHT3Z31J4A66274
2018 BMW X5 xDrive35i,BMW,Green,67910,Zimbrick BMW,(888) 237-4721,4.8,177,,2,Atlas Cedar Metallic,Terra Dakota Leather,8-SPEED A/T,All Wheel Drive,5UXKR0C51J0Y00750
2015 BMW 650 i xDrive,BMW,Black,61743,Zimbrick BMW,(888) 570-3759,4.8,176,11535,2,Carbon Black Metallic,Ivory White Nappa Leather,8-SPEED A/T,All Wheel Drive,WBAYP1C57FD217006
2018 BMW X1 xDrive28i,BMW,Orange,38466,Zimbrick BMW,(888) 237-4721,4.8,176,,2,Sunset Orange Metallic,Black SensaTec,8-SPEED A/T,All Wheel Drive,WBXHT3C34J5L24366
2018 BMW X2 xDrive28i,BMW,White,45045,Zimbrick BMW,(888) 237-4721,4.8,176,,2,Mineral White,BLACK SENSATEC,8-SPEED A/T,All Wheel Drive,WBXYJ5C33JEF69485
2016 BMW 328 Gran Turismo i xDrive,BMW,Black,30974,Zimbrick BMW,(888) 570-3759,4.8,176,32383,2,Black Sapphire Metallic,Leather Dakota Black,8-SPEED A/T,All Wheel Drive,WBA8Z5C58GGS37573
2013 BMW 335 i xDrive,BMW,Silver,22990,Zimbrick BMW,(877) 654-8272,4.8,176,39874,2,Glacier Silver Metallic,Leather Dakota Venetian Beige,8-SPEED A/T,All Wheel Drive,WBA3B9C57DF140873
2018 BMW M240 i,BMW,Black,50420,Zimbrick BMW,(888) 237-4721,4.8,176,,2,Black Sapphire Metallic,Black Dakota Leather,8-SPEED A/T,All Wheel Drive,WBA2J7C51JVB28547
2018 BMW 320 i,BMW,White,38011,Zimbrick BMW,(888) 237-4721,4.8,177,,2,Alpine White,Venetian Beige Sensatec,8-SPEED A/T,All Wheel Drive,WBA8E5G55JNU46794
2015 BMW X4 xDrive28i,BMW,Black,32970,Zimbrick BMW,(888) 570-3759,4.8,176,38692,2,Black Sapphire Metallic,Black,8-SPEED A/T,All Wheel Drive,5UXXW3C57F0M86626
