name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2010 Mercedes-Benz  GL 450 4MATIC,Mercedes-Benz,Black,15998,Kayser Ford Lincoln,(608) 807-5359,4.7,399,107545,2,Black,Cashmere,7-Speed Automatic,AWD,4JGBF7BEXAA543808
2015 Mercedes-Benz  ML 350,Mercedes-Benz,Gray,29998,CarMax Madison,(608) 286-3923,4.3,3,36642,5,Gray,Black,7-Speed Automatic w/OD,AWD,4JGDA5HB7FA445741
2013 Mercedes-Benz  E 350 4MATIC,Mercedes-Benz,Black,16500,Lexus of Madison,(608) 478-2660,5,68,80614,6,Black,Black,7-Speed Automatic,AWD,WDDHF8JB7DA667069
2015 Mercedes-Benz  C 300,Mercedes-Benz,Black,26988,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303,30090,7,Black,Black,7-Speed A/T,All Wheel Drive,55SWF4KB2FU026106
2015 Mercedes-Benz  SLK 250,Mercedes-Benz,Black,29988,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303,25344,7,Black,Sahara Beige,7-Speed A/T,Rear Wheel Drive,WDDPK4HA2FF108712
2007 Mercedes-Benz  S 550 4MATIC,Mercedes-Benz,Gray,15974,Portage Motors,(608) 402-4824,4.8,20,98889,32,Flint Gray Metallic,GRAY,7 speed automatic,AWD,WDDNG86X37A103136
2008 Mercedes-Benz  C 300 Luxury 4MATIC,Mercedes-Benz,Red,10850,Jim O'Connor Select Auto,(262) 347-4147,4.9,157,99224,45,Red,Black,7-Speed Automatic,AWD,WDDGF81X58F143788
2015 Mercedes-Benz  GL 350 BlueTEC 4MATIC,Mercedes-Benz,Orange,43977,Kunes Country Chevrolet Cadillac of Delavan,(262) 586-4283,4.7,720,39027,49,Burnt Orange,Black,7-Speed Automatic,AWD,4JGDF2EEXFA490266
2012 Mercedes-Benz  ML 350 4MATIC,Mercedes-Benz,Black,21080,Kunes Country Chevrolet GMC Buick of Elkhorn,(877) 465-8196,4.9,298,83500,51,Black,Almond Beige,7-Speed Automatic,AWD,4JGDA5HB5CA016030
2018 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz,Blue,63410,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Blue,,7-Speed Automatic,AWD,4JGDA5HB1JB095669
2018 Mercedes-Benz GLS 450 Base 4MATIC,Mercedes-Benz,Black,82290,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Black,,9-Speed Automatic,AWD,4JGDF6EE8JB106463
2018 Mercedes-Benz  E 300,Mercedes-Benz,Black,65630,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Black,,9-Speed Automatic,AWD,WDDZF4KB4JA399265
2007 Mercedes-Benz  R 350 4MATIC,Mercedes-Benz,Other,10995,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,122845,55,,,7-Speed Automatic,AWD,4JGCB65E07A047267
2017 Mercedes-Benz GLE 350 Base 4MATIC,Mercedes-Benz,Black,64060,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Black,,7-Speed Automatic,AWD,4JGDA5HB1HA982639
2018 Mercedes-Benz  C 300 4MATIC,Mercedes-Benz,White,46975,Napleton Autowerks Loves Park,(815) 916-4212,4.9,519,,55,Polar White,,9-Speed Automatic,AWD,55SWF4KB2JU256396
2014 Mercedes-Benz  GL 450 4MATIC,Mercedes-Benz,Black,33424,Boucher Hyundai,(866) 508-6541,4.9,881,54577,60,Black,Black,7-Speed Automatic,AWD,4JGDF7CE1EA403577
2017 Mercedes-Benz  E 300,Mercedes-Benz,Silver,60495,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39,,61,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB9HA173684
2015 Mercedes-Benz  Sport,Mercedes-Benz,Blue,29998,CarMax Waukesha,(262) 207-2339,,,22687,61,Blue,Tan,7-Speed Automatic w/OD,AWD,WDDHF8JB0FB136258
2017 Mercedes-Benz  E 300,Mercedes-Benz,Black,65665,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39,,61,Black,Black,9-Speed Automatic,AWD,WDDZF4KB3HA282271
2018 Mercedes-Benz AMG C 63 S,Mercedes-Benz,Black,88910,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39,,61,Obsidian Black Metallic,Black,7-Speed Automatic,RWD,WDDWJ8HB2JF645877
2015 Mercedes-Benz  ML 350 4MATIC,Mercedes-Benz,White,31681,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39,35346,61,Polar White,Black,7-Speed Automatic,AWD,4JGDA5HB6FA511177
2018 Mercedes-Benz AMG C 43 Base 4MATIC,Mercedes-Benz,Black,63835,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39,,61,Obsidian Black Metallic,Black,9-Speed Automatic,AWD,55SWF6EB5JU256965
2017 Mercedes-Benz CLS 550 Base 4MATIC,Mercedes-Benz,Gray,88100,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39,,61,Selenite Gray Metallic,Black,9-Speed Automatic,AWD,WDDLJ9BB6HA198155
2018 Mercedes-Benz  C 300 4MATIC,Mercedes-Benz,Black,48825,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39,,61,Black,Black,9-Speed Automatic,AWD,WDDWF4KB9JR336487
2015 Mercedes-Benz  ML 350 4MATIC,Mercedes-Benz,White,31681,International Porsche of Waukesha,(262) 395-7647,5,4,35346,61,Polar White,Black,7-Speed Automatic,AWD,4JGDA5HB6FA511177
2017 Mercedes-Benz  E 300,Mercedes-Benz,Blue,61945,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39,,61,Lunar Blue Metallic,Macchiato,9-Speed Automatic,AWD,WDDZF4KB5HA239616
2017 Mercedes-Benz  E 300,Mercedes-Benz,Silver,50521,Mercedes-Benz of Elmbrook,(262) 510-0488,4.5,39,5626,61,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB4HA104109
2017 Mercedes-Benz AMG C 63 S,Mercedes-Benz,Black,91785,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39,,61,Obsidian Black Metallic,Black,7-Speed Automatic,RWD,WDDWK8HB9HF498772
2014 Mercedes-Benz  CLA250,Mercedes-Benz,Silver,22998,CarMax Waukesha,(262) 207-2339,,,31428,61,Silver,Black,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EB8EN067839
2017 Mercedes-Benz  E 300,Mercedes-Benz,Silver,51021,International Porsche of Waukesha,(262) 395-7647,5,4,5626,61,Iridium Silver Metallic,Black,9-Speed Automatic,AWD,WDDZF4KB4HA104109
2017 Mercedes-Benz  E 300,Mercedes-Benz,White,60175,Mercedes-Benz of Elmbrook,(262) 510-0498,4.5,39,,61,Polar White,Black,9-Speed Automatic,AWD,WDDZF4KB7HA137444
2011 Mercedes-Benz  C 300 Sport,Mercedes-Benz,White,10998,Heiser Toyota,(414) 375-4859,4.8,822,81185,67,Arctic White,Black,Automatic 7-Speed,All Wheel Drive,WDDGF8BB9BR164667
2014 Mercedes-Benz  E 350 4MATIC,Mercedes-Benz,Silver,19990,Boucher Volkswagen Marketplace of Franklin,(866) 571-8206,5,58,77403,68,Iridium Silver Metallic,Black,7-Speed Automatic,AWD,WDDHF8JB6EA921596
