name,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2005 Lexus ES 330,Lexus,Blue,7567,Kayser Ford Lincoln,(608) 807-5359,4.7,399,116524,2,Blue Shale Mica,Cashmere,5-Speed Automatic,FWD,JTHBA30G555128411
2015 Lexus RX 350,Lexus,Black,29100,Smart Motors,(608) 318-4181,4.7,432,39908,4,Stargazer Black,Black,6-Speed Automatic w/OD,AWD,2T2BK1BA0FC286490
2013 Lexus RX 350 Base,Lexus,Beige,21950,Lexus of Madison,(608) 478-2660,5,68,82589,6,Satin Cashmere Metallic,Parchment,6-Speed Automatic,AWD,2T2BK1BAXDC174227
2009 Lexus RX 350,Lexus,Silver,15500,Lexus of Madison,(608) 478-2660,5,68,82120,6,Classic Silver,Black,5-Speed Automatic,AWD,2T2HK31U09C111548
2015 Lexus RX 350 Base,Lexus,Red,28950,Lexus of Madison,(608) 478-2657,5,68,36215,6,Claret Mica,Parchment,6-Speed Automatic,AWD,2T2BK1BA3FC299881
2017 Lexus NX 200t NX,Lexus,Silver,33950,Lexus of Madison,(608) 478-2657,5,68,8838,6,Atomic Silver,Black,6-Speed Automatic,AWD,JTJBARBZ3H2099108
2011 Lexus GS 350 Base,Lexus,Beige,17500,Lexus of Madison,(608) 478-2660,5,68,58677,6,Satin Cashmere Metallic,Parchment,6-Speed Automatic,AWD,JTHCE1KS2B0030928
2017 Lexus ES 350 Base,Lexus,Brown,36950,Lexus of Madison,(608) 478-2660,5,68,10196,6,Autumn Shimmer,Parchment,6-Speed Automatic,FWD,58ABK1GG0HU054662
2015 Lexus NX 200t 200T,Lexus,Silver,27500,Lexus of Madison,(608) 478-2660,5,68,15887,6,Atomic Silver,Black,6-Speed Automatic,FWD,JTJYARBZ7F2017887
2015 Lexus NX 200t,Lexus,White,28500,Lexus of Madison,(608) 478-2660,5,68,43837,6,Eminent White Pearl,Cream,6-Speed Automatic,AWD,JTJBARBZXF2002726
2011 Lexus RX 350 Base,Lexus,Beige,15950,Lexus of Madison,(608) 478-2660,5,68,88545,6,Satin Cashmere Metallic,Parchment,6-Speed Automatic,AWD,2T2BK1BA6BC085512
2017 Lexus NX 200t NX,Lexus,Silver,31500,Lexus of Madison,(608) 478-2657,5,68,12393,6,Atomic Silver,Black,6-Speed Automatic,FWD,JTJYARBZ9H2052174
2018 Lexus IS 300,Lexus,White,43793,Lexus of Madison,(608) 478-2661,5,68,,6,Ultra White,Black,6-Speed Automatic,AWD,JTHC81D26J5029108
2014 Lexus GX 460 Luxury,Lexus,Red,39250,Lexus of Madison,(608) 478-2657,5,68,36313,6,Claret Mica,Black,6-Speed Automatic,4WD,JTJJM7FX5E5084538
2015 Lexus CT 200h Base,Lexus,Black,22500,Lexus of Madison,(608) 478-2657,5,68,31457,6,Obsidian Black,Black,Automatic CVT,FWD,JTHKD5BH5F2224437
2015 Lexus RX 350 Base,Lexus,Black,30500,Lexus of Madison,(608) 478-2660,5,68,24167,6,Stargazer Black,Parchment,6-Speed Automatic,AWD,2T2BK1BA0FC283203
2018 Lexus ES 350 Base,Lexus,Beige,42285,Lexus of Madison,(608) 478-2661,5,68,,6,Satin Cashmere Metallic,Parchment,6-Speed Automatic,FWD,58ABK1GG7JU098633
