name,year,brand,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_Madison,Exterior Color,Interior Color,Transmission,Drivetrain,VIN
2010 Mercedes-Benz  GL 450 4MATIC,2010,Mercedes-Benz,Black,15614,Kayser Ford Lincoln,(608) 807-5359,4.7,399,107545,2,Black,Cashmere,7-Speed Automatic,AWD,4JGBF7BEXAA543808
2013 Mercedes-Benz  E 350 4MATIC,2013,Mercedes-Benz,Silver,14995,German Auto House,(608) 467-4941,5,1,114796,2,Silver,White,7-Speed Automatic,AWD,WDDHF8JB0DA679788
2009 Mercedes-Benz  S 550 4MATIC,2009,Mercedes-Benz,Black,25995,German Auto House,(608) 467-4941,5,1,40375,2,Black,Black,7-Speed Automatic,AWD,WDDNG86X49A258457
2015 Mercedes-Benz  ML 350,2015,Mercedes-Benz,Gray,29998,CarMax Madison,(608) 286-3923,4.3,3,36642,5,Gray,Black,7-Speed Automatic w/OD,AWD,4JGDA5HB7FA445741
2014 Mercedes-Benz  GL450 4MATIC,2014,Mercedes-Benz,White,34998,CarMax Madison,(608) 286-3923,4.3,3,57218,5,White,Tan,7-Speed Automatic w/OD,AWD,4JGDF7CE1EA410478
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,Black,25998,CarMax Madison,(608) 286-3923,4.3,3,26442,5,Black,Tan,7-Speed Auto-Shift Manual w/OD,AWD,WDCTG4GBXFJ092318
2014 Mercedes-Benz  CLA250 4MATIC,2014,Mercedes-Benz,White,23998,CarMax Madison,(608) 286-3923,4.3,3,20986,5,White,Black,7-Speed Auto-Shift Manual w/OD,AWD,WDDSJ4GB2EN143634
2014 Mercedes-Benz  Sport,2014,Mercedes-Benz,Gray,19998,CarMax Madison,(608) 286-3923,4.3,3,24850,5,Gray,Black,7-Speed Automatic w/OD,RWD,WDDGF4HB0ER314346
2013 Mercedes-Benz  GL 450 4MATIC,2013,Mercedes-Benz,Black,30495,Fields Jaguar Land Rover Volvo Cars Madison,(608) 216-2301,4.3,21,64995,5,Black,Black,7-Speed Automatic,AWD,4JGDF7CEXDA193222
2014 Mercedes-Benz  ML 350,2014,Mercedes-Benz,Gray,28998,CarMax Madison,(608) 286-3923,4.3,3,37253,5,Gray,Black,7-Speed Automatic w/OD,AWD,4JGDA5HB3EA417238
