name,year,maker,color,price,seller_name,seller_phone,seller_average_rating,seller_review_count,miles,distance_from_madison,exterior_color,interior_color,transmission,drivetrain,vin,id
2010 Mercedes-Benz  GL 450 4MATIC,2010,Mercedes-Benz,Black,15614.0,Kayser Ford Lincoln,(608) 807-5359,4.7,399.0,107545.0,2,Black,Cashmere,7-Speed Automatic,AWD,4JGBF7BEXAA543808,0
2015 Mercedes-Benz  ML 350,2015,Mercedes-Benz,Gray,29998.0,CarMax Madison,(608) 286-3923,4.3,3.0,36642.0,5,Gray,Black,7-Speed Automatic w/OD,AWD,4JGDA5HB7FA445741,1
2013 Mercedes-Benz  E 350 4MATIC,2013,Mercedes-Benz,Black,16500.0,Lexus of Madison,(608) 478-2660,5.0,68.0,80614.0,6,Black,Black,7-Speed Automatic,AWD,WDDHF8JB7DA667069,2
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,Black,26988.0,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303.0,30090.0,7,Black,Black,7-Speed A/T,All Wheel Drive,55SWF4KB2FU026106,3
2015 Mercedes-Benz  SLK 250,2015,Mercedes-Benz,Black,29988.0,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303.0,25344.0,7,Black,Sahara Beige,7-Speed A/T,Rear Wheel Drive,WDDPK4HA2FF108712,4
2007 Mercedes-Benz  S 550 4MATIC,2007,Mercedes-Benz,Gray,15974.0,Portage Motors,(608) 402-4824,4.8,20.0,98889.0,32,Flint Gray Metallic,GRAY,7 speed automatic,AWD,WDDNG86X37A103136,5
2015 Mercedes-Benz  E 350 4MATIC,2015,Mercedes-Benz,Silver,29855.0,Kayser Chrysler Center Watertown,(920) 545-2133,5.0,124.0,35199.0,35,Silver,Gray / Dark Gray,7-Speed Automatic,AWD,WDDHF8JB4FB086738,6
2008 Mercedes-Benz  C 300 Luxury 4MATIC,2008,Mercedes-Benz,Red,10850.0,Jim O'Connor Select Auto,(262) 347-4147,4.9,157.0,99224.0,45,Red,Black,7-Speed Automatic,AWD,WDDGF81X58F143788,7
2015 Mercedes-Benz  GL 350 BlueTEC 4MATIC,2015,Mercedes-Benz,Orange,43977.0,Kunes Country Chevrolet Cadillac of Delavan,(262) 586-4283,4.7,720.0,39027.0,49,Burnt Orange,Black,7-Speed Automatic,AWD,4JGDF2EEXFA490266,8
2008 Mercedes-Benz  E 350 4MATIC,2008,Mercedes-Benz,White,8500.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,148268.0,55,White,,5-Speed Automatic,AWD,WDBUF87X28B291147,9
