name,year,maker,price,seller_name,seller_phone,miles,exterior_color,interior_color,transmission,drivetrain,vin,id
2017 BMW X3 Xdrive28i SUV,2017.0,BMW,32528.0,Kayser Nissan,866-752-3695,13327.0,Mineral Silver Metallic,BLACK,Automatic,All Wheel Drive,5UXWX9C30H0W66835,0
2013 BMW 3 Series 4dr Sdn 328i xDrive AWD,2013.0,BMW,17986.0,Zimbrick BMW,888-237-4721 877-654-8272,69367.0,Jet Black,Black,Automatic,All Wheel Drive,WBA3B3C55DJ976353,1
2011 BMW X3 AWD 4dr 28i,2011.0,BMW,15990.0,Zimbrick BMW,888-237-4721 877-654-8272,83846.0,Blue Water Metallic,Oyster,Automatic,All Wheel Drive,5UXWX5C5XBL704359,2
2011 BMW 3 Series 4dr Sdn 328i xDrive AWD,2011.0,BMW,14882.0,Zimbrick BMW,888-237-4721 877-654-8272,62935.0,Space Gray Metallic,Beige,Manual,All Wheel Drive,WBAPK7C59BA820953,3
2011 BMW M3 2dr Cpe,2011.0,BMW,29990.0,Zimbrick BMW,888-237-4721 877-654-8272,63030.0,Jet Black,Black,Manual,Rear Wheel Drive,WBSKG9C59BE369258,4
2016 BMW 3 Series 4dr Sdn 320i xDrive AWD,2016.0,BMW,29990.0,Zimbrick BMW,888-237-4721 877-654-8272,11845.0,Mineral White Metallic,Venetian Beige SensaTec,Automatic,All Wheel Drive,WBA8E5G50GNT94838,5
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,2015.0,BMW,29882.0,Zimbrick BMW,888-237-4721 877-654-8272,30694.0,Mineral Gray Metallic,Black,Automatic,All Wheel Drive,WBA3B3G54FNR87396,6
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,2015.0,BMW,28990.0,Zimbrick BMW,888-237-4721 877-654-8272,16996.0,Jet Black,Black w/Red Highlight,Automatic,All Wheel Drive,WBA3B3G54FNT17783,7
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,2015.0,BMW,27990.0,Zimbrick BMW,888-237-4721 877-654-8272,25579.0,Jet Black,Coral Red/Black,Automatic,All Wheel Drive,WBA3B3G50FNR88674,8
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,2015.0,BMW,26990.0,Zimbrick BMW,888-237-4721 877-654-8272,30051.0,Mineral Grey Metallic,Black Dakota Leather,Automatic,All Wheel Drive,WBA3B3C56FF546773,9
2015 BMW X3 AWD 4dr xDrive28i,2015.0,BMW,26958.0,Zimbrick BMW,888-237-4721 877-654-8272,36077.0,Space Gray Metallic,Black,Automatic,All Wheel Drive,5UXWX9C59F0D50674,10
2015 BMW M3 4dr Sdn,2015.0,BMW,57990.0,Zimbrick BMW,888-237-4721 877-654-8272,9307.0,Mineral Gray Metallic,Black,Manual,Rear Wheel Drive,WBS3C9C59FP804998,11
2018 BMW 5 Series 530i xDrive Sedan,2018.0,BMW,54994.0,Zimbrick BMW,888-237-4721 877-654-8272,3400.0,Glacier Silver Metallic,Black,,,WBAJA7C55JWA73073,12
2017 BMW X5 xDrive35i Sports Activity Vehicle,2017.0,BMW,54725.0,Zimbrick BMW,888-237-4721 877-654-8272,9489.0,Glacier Silver Metallic,Black,Automatic,All Wheel Drive,5UXKR0C35H0X76896,13
2017 BMW 5 Series 530i xDrive Sedan,2017.0,BMW,54945.0,Zimbrick BMW,888-237-4721 877-654-8272,5027.0,Imperial Blue Metallic,Black,,All Wheel Drive,WBAJA7C34HWA70867,14
2018 BMW X4 xDrive28i Sports Activity Coupe,2018.0,BMW,54695.0,Zimbrick BMW,888-237-4721 877-654-8272,2800.0,Dark Graphite Metallic,Black Nevada Leather,,4-Wheel Drive,5UXXW3C52J0Y66465,15
2015 BMW M3 4dr Sdn,2015.0,BMW,52990.0,Zimbrick BMW,888-237-4721 877-654-8272,27763.0,Mineral White Metallic,Black,Manual,Rear Wheel Drive,WBS3C9C5XFP805108,16
2017 BMW X4 M40i Sports Activity Coupe,2017.0,BMW,48997.0,Zimbrick BMW,888-237-4721 877-654-8272,7411.0,Alpine White,Black,Automatic,All Wheel Drive,5UXXW7C34H0U26831,17
2017 BMW 4 Series 430i xDrive Gran Coupe SULEV,2017.0,BMW,51595.0,Zimbrick BMW,888-237-4721 877-654-8272,7000.0,Carbon Black Metallic,Black,Automatic,All Wheel Drive,WBA4F9C51HG440367,18
2017 BMW X3 xDrive28i Sports Activity Vehicle,2017.0,BMW,48845.0,Zimbrick BMW,888-237-4721 877-654-8272,7500.0,Mineral White Metallic,Saddle Brown,Automatic,All Wheel Drive,5UXWX9C38H0W76481,19
2018 BMW 4 Series 430i xDrive Coupe,2018.0,BMW,48780.0,Zimbrick BMW,888-237-4721 877-654-8272,4800.0,Black Sapphire Metallic,Black w/Blue Stitching,,,WBA4W5C59JAA49620,20
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,2015.0,BMW,26930.0,Zimbrick BMW,888-237-4721 877-654-8272,38150.0,Mineral Gray Metallic,Black,Automatic,All Wheel Drive,WBA3B5G55FNS16134,21
2014 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,2014.0,BMW,24990.0,Zimbrick BMW,888-237-4721 877-654-8272,41926.0,Black Sapphire Metallic,Black/Red,Automatic,All Wheel Drive,WBA3B5G56ENS11376,22
2015 BMW X1 AWD 4dr xDrive28i,2015.0,BMW,24435.0,Zimbrick BMW,888-237-4721 877-654-8272,46282.0,Black Sapphire Metallic,Terra w/Gray-Petrol,Automatic,All Wheel Drive,WBAVL1C54FVY30225,23
2000 BMW Z3 M 2dr Roadster 3.2L,2000.0,BMW,23990.0,Zimbrick BMW,888-237-4721 877-654-8272,62895.0,Dakar Yellow,Black,Manual,Rear Wheel Drive,WBSCK9340YLC92166,24
2014 BMW i3 4dr HB w/Range Extender,2014.0,BMW,22990.0,Zimbrick BMW,888-237-4721 877-654-8272,32542.0,Capparis White/BMW i Frozen Bl,Tera (Full Leather),Direct Drive,Rear Wheel Drive,WBY1Z4C53EV276304,25
2013 BMW X1 AWD 4dr xDrive35i,2013.0,BMW,22990.0,Zimbrick BMW,888-237-4721 877-654-8272,37297.0,Midnight Blue Metallic,Terra,Automatic,All Wheel Drive,WBAVM5C54DVL63910,26
