name,VIN,make,model,year,price,miles,Exterior Color,Interior Color,Seller Name,Seller Phone,Transmission,Drivetrain,id
2017 BMW X3 Xdrive28i SUV,5UXWX9C30H0W66835,BMW,X3,2017.0,32528.0,13327.0,Mineral Silver Metallic,BLACK,Kayser Nissan,866-752-3695,Automatic,All Wheel Drive,0
2013 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3C55DJ976353,BMW,3 Series,2013.0,17986.0,69367.0,Jet Black,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,1
2011 BMW X3 AWD 4dr 28i,5UXWX5C5XBL704359,BMW,X3,2011.0,15990.0,83846.0,Blue Water Metallic,Oyster,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,2
2011 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBAPK7C59BA820953,BMW,3 Series,2011.0,14882.0,62935.0,Space Gray Metallic,Beige,Zimbrick BMW,888-237-4721 877-654-8272,Manual,All Wheel Drive,3
2011 BMW M3 2dr Cpe,WBSKG9C59BE369258,BMW,M3,2011.0,29990.0,63030.0,Jet Black,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive,4
2016 BMW 3 Series 4dr Sdn 320i xDrive AWD,WBA8E5G50GNT94838,BMW,3 Series,2016.0,29990.0,11845.0,Mineral White Metallic,Venetian Beige SensaTec,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,5
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3G54FNR87396,BMW,3 Series,2015.0,29882.0,30694.0,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,6
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3G54FNT17783,BMW,3 Series,2015.0,28990.0,16996.0,Jet Black,Black w/Red Highlight,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,7
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3G50FNR88674,BMW,3 Series,2015.0,27990.0,25579.0,Jet Black,Coral Red/Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,8
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD,WBA3B3C56FF546773,BMW,3 Series,2015.0,26990.0,30051.0,Mineral Grey Metallic,Black Dakota Leather,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,9
2015 BMW X3 AWD 4dr xDrive28i,5UXWX9C59F0D50674,BMW,X3,2015.0,26958.0,36077.0,Space Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,10
2015 BMW M3 4dr Sdn,WBS3C9C59FP804998,BMW,M3,2015.0,57990.0,9307.0,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive,11
2018 BMW 5 Series 530i xDrive Sedan,WBAJA7C55JWA73073,BMW,5 Series,2018.0,54994.0,3400.0,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,,12
2017 BMW X5 xDrive35i Sports Activity Vehicle,5UXKR0C35H0X76896,BMW,X5,2017.0,54725.0,9489.0,Glacier Silver Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,13
2017 BMW 5 Series 530i xDrive Sedan,WBAJA7C34HWA70867,BMW,5 Series,2017.0,54945.0,5027.0,Imperial Blue Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,,All Wheel Drive,14
2018 BMW X4 xDrive28i Sports Activity Coupe,5UXXW3C52J0Y66465,BMW,X4,2018.0,54695.0,2800.0,Dark Graphite Metallic,Black Nevada Leather,Zimbrick BMW,888-237-4721 877-654-8272,,4-Wheel Drive,15
2015 BMW M3 4dr Sdn,WBS3C9C5XFP805108,BMW,M3,2015.0,52990.0,27763.0,Mineral White Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive,16
2017 BMW X4 M40i Sports Activity Coupe,5UXXW7C34H0U26831,BMW,X4,2017.0,48997.0,7411.0,Alpine White,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,17
2017 BMW 4 Series 430i xDrive Gran Coupe SULEV,WBA4F9C51HG440367,BMW,4 Series Gran Coupe,2017.0,51595.0,7000.0,Carbon Black Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,18
2017 BMW X3 xDrive28i Sports Activity Vehicle,5UXWX9C38H0W76481,BMW,X3,2017.0,48845.0,7500.0,Mineral White Metallic,Saddle Brown,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,19
2018 BMW 4 Series 430i xDrive Coupe,WBA4W5C59JAA49620,BMW,4 Series,2018.0,48780.0,4800.0,Black Sapphire Metallic,Black w/Blue Stitching,Zimbrick BMW,888-237-4721 877-654-8272,,,20
2015 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,WBA3B5G55FNS16134,BMW,3 Series,2015.0,26930.0,38150.0,Mineral Gray Metallic,Black,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,21
2014 BMW 3 Series 4dr Sdn 328i xDrive AWD SULEV,WBA3B5G56ENS11376,BMW,3 Series,2014.0,24990.0,41926.0,Black Sapphire Metallic,Black/Red,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,22
2015 BMW X1 AWD 4dr xDrive28i,WBAVL1C54FVY30225,BMW,X1,2015.0,24435.0,46282.0,Black Sapphire Metallic,Terra w/Gray-Petrol,Zimbrick BMW,888-237-4721 877-654-8272,Automatic,All Wheel Drive,23
2000 BMW Z3 M 2dr Roadster 3.2L,WBSCK9340YLC92166,BMW,M,2000.0,23990.0,62895.0,Dakar Yellow,Black,Zimbrick BMW,888-237-4721 877-654-8272,Manual,Rear Wheel Drive,24
