name,year,maker,price,seller_name,seller_phone,miles,exterior_color,interior_color,transmission,drivetrain,vin,id
2009 LEXUS IS 250 Base,2009.0,Lexus,12984.0,Jaguar Land Rover Volvo Waukesha,866-296-3008 877-287-8274,57092.0,Gray,GRAY,Automatic,All Wheel Drive,JTHCK262395032032,1315
Used 2015 BMW X4 xDrive28i AWD 4dr Sports Activity Coupe,2015.0,BMW,32125.0,Lou Bachrodt Automall,(815) 580-4539,38984.0,Mineral Silver Metallic,Black,Automatic,All Wheel Drive,5UXXW3C5XF0M87429,327
2016 Lexus IS 300 AWD F Sport Sedan,2016.0,Lexus,34800.0,Jacobson Auto Sales Inc,920-235-3040,9312.0,Ultra White,Rioja Red w/Silver Performance Trim,Automatic,All Wheel Drive,JTHCM1D26G5004827,1597
Used 2013 Audi A4 4dr Sdn Auto quattro 2.0T Premium Plus,2013.0,Audi,13766.0,Andrew Chevrolet,(414) 228-6200,104112.0,Silver,Black W/leather Seating Surfaces,Automatic,All Wheel Drive,WAUFFAFL3DN023875,2829
2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,Umansky Motor Cars,877-650-2166,4383.0,Black,BLACK,Automatic,All Wheel Drive,WDDZF4KB7HA213910,1981
2014 Audi A6 3.0 TDI Premium Plus quattro Sedan,2014.0,Audi,27887.0,Van Horn Latino,(855) 416-3161,49633.0,White,Titanium Gray,Automatic,All Wheel Drive,WAUFMAFC0EN013697,2844
Used 2014 BMW X1 xDrive28i xDrive28i,2014.0,BMW,19299.0,Van Horn Hyundai Fond Du Lac,,37430.0,Glacier Silver Metallic,Black,Automatic,All Wheel Drive,WBAVL1C52EVY15527,416
2016 BMW X6 xDrive50i With Navigation & AWD,2016.0,BMW,55555.0,Motorwerks of Barrington,888-570-6761 888-570-6837,25875.0,Carbon Black Metallic,Terra,Automatic,All Wheel Drive,5UXKU6C57G0R34494,908
2005 Lexus ES 330,2005.0,Lexus,4798.0,Arlington Acura in Palatine,866-231-0455 866-892-7510,208435.0,Classic Silver Metallic,Cashmere,Automatic,Front Wheel Drive,JTHBA30G455061672,1702
2017 LEXUS GX 460,2017.0,Lexus,49000.0,Jack Safro's Lexus of Brookfield,888-462-0997 888-889-7155,10614.0,Starfire Pearl,BLACK,Automatic,4-Wheel Drive,JTJBM7FX3H5159388,1339
2015 Mercedes-Benz S-Class S 550 4MATIC,2015.0,Mercedes-Benz,56987.0,Motorwerks of Barrington,888-570-6761 888-570-6837,38180.0,Black,Silk Beige/Espresso Brown,Automatic,All Wheel Drive,WDDUG8FB2FA126812,2288
2007 BMW 328xi 328xi Sedan,2007.0,BMW,7495.0,Diamond Jim's Motorcars,888-261-9579,157372.0,Black,BROWN,Manual,All Wheel Drive,WBAVC93547K034639,532
2015 Mercedes-Benz M-Class ML 250,2015.0,Mercedes-Benz,36782.0,Motor Werks Honda,847-381-8900,26719.0,Black,Almond Beige/Mocha,Automatic,All Wheel Drive,4JGDA0EBXFA469331,2390
2007 Mercedes-Benz S-Class Base Sedan,2007.0,Mercedes-Benz,17000.0,Zeigler Nissan Gurnee,847-265-1122,86637.0,Black,BLACK,Automatic,Rear Wheel Drive,WDDNG71X47A059939,2082
2017 LEXUS ES,2017.0,Lexus,35000.0,Lexus of Milwaukee,(414) 386-1368,17500.0,Nebula Gray Pearl,FLAXEN,Automatic,Front Wheel Drive,58ABK1GG0HU071400,1518
2012 LEXUS RX 350 350 AWD,2012.0,Lexus,,Palmen Dodge Chrysler Jeep,855-457-7752,56666.0,Obsidian,BLACK,Automatic,All Wheel Drive,2T2BK1BA9CC122957,1593
2014 Mercedes-Benz GL-Class GL 450 4MATIC SUV All-wheel Drive,2014.0,Mercedes-Benz,29977.0,Billion Toyota of Clinton,,87394.0,Steel Gray,BLACK,Automatic,All Wheel Drive,4JGDF7CE2EA402115,2474
2015 LEXUS NX 200t,2015.0,Lexus,30000.0,Jack Safro's Lexus of Brookfield,888-462-0997 888-889-7155,43599.0,Atomic Silver,BLACK,Automatic,All Wheel Drive,JTJBARBZ4F2032529,1384
2014 Mercedes-Benz GLK-Class GLK 250 BlueTEC AWD,2014.0,Mercedes-Benz,23525.0,Buss Ford Lincoln,888-660-4137 888-813-5078,67764.0,Blue,,Automatic,All Wheel Drive,WDCGG0EB0EG239366,2047
Used 2015 BMW 5 Series 535i xDrive,2015.0,BMW,31000.0,MAZDA OF CRYSTAL LAKE,,54791.0,Black,,Automatic,All Wheel Drive,WBA5B3C53FD545262,582
2017 BMW 7 Series 740e xDrive iPerformance With Navigation & AWD,2017.0,BMW,66444.0,Motor Werks Honda,847-381-8900,13487.0,Black Sapphire Metallic,Black,Automatic,All Wheel Drive,WBA7J2C3XHG497975,995
2014 BMW 7 Series 4dr Sdn 750Li Xdrive AWD,2014.0,BMW,33199.0,Elgin Hyundai,888-221-3831 888-263-1297,51997.0,Jet Black,BLACK,Automatic,All Wheel Drive,WBAYF8C50ED142028,1031
2012 BMW 5-Series 528i xDrive,2012.0,BMW,17000.0,Premium Auto Sales Inc.,847-837-1234,48876.0,Dark Gray,Leather,Automatic,All Wheel Drive,WBAXH5C54CDW10649,834
2015 BMW M6 Base With Navigation,2015.0,BMW,68777.0,Motor Werks Honda,847-381-8900,24719.0,Black Sapphire Metallic,Black,Automated Manual,Rear Wheel Drive,WBSLZ9C59FD651278,1002
2016 BMW 3 Series 4dr Sdn 320i xDrive AWD,2016.0,BMW,29990.0,Zimbrick BMW,888-237-4721 877-654-8272,11845.0,Mineral White Metallic,Venetian Beige SensaTec,Automatic,All Wheel Drive,WBA8E5G50GNT94838,5
2014 BMW 3 Series 328i xDrive AWD,2014.0,BMW,21777.0,Motorwerks of Barrington,888-570-6761 888-570-6837,24923.0,Jet Black,Venetian Beige,Automatic,All Wheel Drive,WBA3B3C59EJ981119,861
