_id,ltable_vin,rtable_vin,ltable_name,ltable_year,ltable_maker,ltable_price,ltable_seller_phone,ltable_seller_name,ltable_miles,ltable_exterior_color,ltable_interior_color,rtable_name,rtable_year,rtable_maker,rtable_price,rtable_seller_phone,rtable_seller_name,rtable_miles,rtable_exterior_color,rtable_interior_color
36,5UXXW3C5XF0M87429,5UXXW3C5XF0M87429,2015 BMW X4 xDrive28i,2015,BMW,32125.0,(815) 580-3161,Lou Bachrodt Automall,38984.0,Mineral Silver Metallic,Black,Used 2015 BMW X4 xDrive28i AWD 4dr Sports Activity Coupe,2015.0,BMW,32125.0,(815) 580-4539,Lou Bachrodt Automall,38984.0,Mineral Silver Metallic,Black
47,5UXWX9C56F0D51264,5UXXW3C5XF0M87429,2015 BMW X3 xDrive28i,2015,BMW,33990.0,(888) 570-3759,Zimbrick BMW,37495.0,Mineral White Metallic,Saddle Brown Nevada Leather,Used 2015 BMW X4 xDrive28i AWD 4dr Sports Activity Coupe,2015.0,BMW,32125.0,(815) 580-4539,Lou Bachrodt Automall,38984.0,Mineral Silver Metallic,Black
65,JTHCM1D26G5004827,JTHCM1D26G5004827,2016 Lexus IS 300 Base,2016,Lexus,34800.0,(888) 694-7192,Jacobson Auto Sales,9312.0,Ultra White,Rioja Red w/Silver Performance Trim,2016 Lexus IS 300 AWD F Sport Sedan,2016.0,Lexus,34800.0,920-235-3040,Jacobson Auto Sales Inc,9312.0,Ultra White,Rioja Red w/Silver Performance Trim
370,WDDZF4KB8HA206416,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,57065.0,(262) 510-0488,Mercedes-Benz of Elmbrook,4310.0,Black,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK
371,WDDZF4KB0HA128696,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55876.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,5287.0,Polar White,beige,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK
374,WDDZF4KB1HA181326,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55695.0,(888) 821-6594,Mercedes-Benz of Milwaukee North,5656.0,Iridium Silver Metallic,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK
377,WDDZF4KB9HA023218,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,56499.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,4499.0,Black,Macchiato Beige,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK
378,WDDZF4KB3HA135206,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55499.0,(888) 821-6594,Mercedes-Benz of Milwaukee North,4163.0,Selenite Grey Metallic,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK
379,WDDZF4KB7HA213910,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55443.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,4383.0,Black,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK
380,WDDZF4KBXHA203839,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55085.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,4320.0,Selenite Grey Metallic,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK
