_id,ltable_vin,rtable_vin,ltable_name,ltable_year,ltable_maker,ltable_price,ltable_seller_phone,ltable_seller_name,ltable_miles,ltable_exterior_color,ltable_interior_color,rtable_name,rtable_year,rtable_maker,rtable_price,rtable_seller_phone,rtable_seller_name,rtable_miles,rtable_exterior_color,rtable_interior_color
478,4JGDA5HB8HA924396,WDDZF4KB1HA141439,2017 Mercedes-Benz GLE 350 Base 4MATIC,2017,Mercedes-Benz,52679.0,(262) 395-7647,International Porsche of Waukesha,12767.0,Iridium Silver Metallic,Black,2017 Mercedes-Benz E-Class E 300 4MATIC Sedan,2017.0,Mercedes-Benz,,847-265-1122,Zeigler Nissan Gurnee,11672.0,,
589,WA1LFAFP3FA108602,WA1EFCFS1FR007262,2015 Audi Q5 2.0T Premium Plus quattro,2015,Audi,,(414) 375-2115,Audi North Shore,24370.0,Brilliant Black,Black,2015 Audi Q3 2.0T Premium Plus SUV,2015.0,Audi,26985.0,414-543-3000,INTERNATIONAL AUTOS GROUP,26314.0,Mythos Black Metallic,Black
790,5UXWX5C5XBL704359,5UXWX5C52BL701715,2011 BMW X3 28i,2011,BMW,15990.0,(877) 654-8272,Zimbrick BMW,83846.0,Blue Water Metallic,Oyster,2011 BMW X3 28i SUV,2011.0,BMW,14684.0,(855) 416-3161,Van Horn Latino,85210.0,Gray,Black w/Nevada Leather Upholstery
795,2T2BK1BA4DC188639,2T2BK1BA4DC188639,2013 Lexus RX 350 Base,2013,Lexus,23950.0,(608) 478-2657,Lexus of Madison,64361.0,Stargazer Black,Parchment,2013 Lexus RX 350,2013.0,Lexus,23950.0,877-510-3625 877-545-4105,Lexus of Madison,64361.0,STARGAZER BLACK,PARCHMENT
973,WAUDFAFL5FN032717,WA1LGAFEXFD013500,2015 Audi A4 2.0T Premium quattro,2015,Audi,,(888) 450-4176,Hall Volkswagen Mazda,39583.0,Tornado Gray,,2015 Audi Q7 3.0T Premium SUV,2015.0,Audi,39253.0,414-543-3000,INTERNATIONAL AUTOS GROUP,39466.0,Graphite Gray Metallic,Black
1188,WA1LMAFE3FD021737,WA1LMAFE3FD021737,2015 Audi Q7 3.0L TDI Premium Plus,2015,Audi,33995.0,(414) 455-6995,"AutoSource Motors, Inc.",31556.0,Graphite Gray Metallic,Black,2015 Audi Q7 quattro 4dr 3.0L TDI Premium Plus SUV,2015.0,Audi,33995.0,888-784-8893,Autosource Motors Inc.,31556.0,Graphite Gray Metallic,Black
1429,58ABK1GGXHU073588,58ABK1GGXHU073588,2017 Lexus ES 350 Base,2017,Lexus,36500.0,(414) 375-4932,Lexus of Milwaukee,9822.0,Caviar,Black,2017 LEXUS ES,2017.0,Lexus,36500.0,(414) 386-1368,Lexus of Milwaukee,9822.0,Caviar,BLACK
1476,WDDPK4HA2FF108712,WDDPK4HA2FF108712,2015 Mercedes-Benz  SLK 250,2015,Mercedes-Benz,29988.0,(608) 338-1462,Zimbrick Hyundai Eastside,25344.0,Black,Sahara Beige,2015 Mercedes-Benz SLK-Class 2dr Roadster SLK 250,2015.0,Mercedes-Benz,29988.0,608-620-7188,Zimbrick Inc,25344.0,Black,Sahara Beige
1664,WAUC4AFR6GA020977,WAUC4AFR6GA020977,2016 Audi S5 3.0T Premium Plus quattro,2016,Audi,43500.0,(414) 269-8729,International Autos,27075.0,Daytona Gray Pearl Effect,Black,2016 Audi S5 3.0T Premium Plus Coupe,2016.0,Audi,43500.0,,International Alfa Romeo,27075.0,Daytona gray pearl,Black
2198,WBA3N9C54GK249746,WBA3N9C54GK249746,2016 BMW 428 i xDrive,2016,BMW,38885.0,(414) 930-1684,International Autos,8971.0,Black Sapphire Metallic,Black,2016 BMW 428i xDrive SULEV Coupe,2016.0,BMW,38885.0,,International Alfa Romeo,8971.0,Black Sapphire Metallic,Black
2223,JTHCE1KS2B0030928,JTHCE1KS2B0030928,2011 Lexus GS 350 Base,2011,Lexus,16950.0,(608) 478-2660,Lexus of Madison,58677.0,Satin Cashmere Metallic,Parchment,2011 Lexus GS 350,2011.0,Lexus,16950.0,877-510-3625 877-545-4105,Lexus of Madison,58677.0,SATIN CASHMERE METALLIC,PARCHMENT
2851,WBAVC93558K039060,WBAVC93558K039060,2008 BMW  328xi,2008,BMW,8889.0,(888) 602-5985,INFINITI Milwaukee,103150.0,Jet Black,Black,Used 2008 BMW 328xi Sedan,2008.0,BMW,8889.0,866-920-8034,International Autos of Waukesha,103150.0,Black Sapphire Metallic,Black
3138,WAUBFGFF2F1093227,WAUBFGFF2F1093227,2015 Audi A3 4dr Sdn quattro 2.0T Premium,2015,Audi,22500.0,,Zimbrick European,23187.0,Brilliant Black,Black,2015 Audi A3 4dr Sdn quattro 2.0T Premium Car,2015.0,Audi,22500.0,(608) 258-4000,Zimbrick Audi,23187.0,Brilliant Black,BLACK
3429,WBA3C3G5XENS68441,WBA3C3G5XENS68441,2014 BMW 320 i xDrive,2014,BMW,18584.0,(866) 590-9089,Boucher Chevrolet of Waukesha,47112.0,Mojave Metallic,Venetian Beige,Used 2014 BMW 320i xDrive Sedan,2014.0,BMW,18584.0,866-668-0615 866-590-9089,Boucher Chevrolet,47112.0,Mojave Metallic,Venetian Beige W/dakota Leather Upholstery
3582,JTHCF1D21E5004922,JTHCF1D29E5007776,2014 Lexus IS 250 Base,2014,Lexus,22995.0,(608) 216-2303,Goben Cars East,59388.0,Silver,,2014 Lexus IS 250 AWD F-Sport,2014.0,Lexus,23995.0,608-723-2650,Lancaster Motors Inc.,57528.0,Silver,Leather
3832,WAUENCF59JA021532,WA1BNAFY0J2053178,2018 Audi A5 2.0T Premium Plus quattro,2018,Audi,45867.0,(414) 375-2104,Audi North Shore,5959.0,Moonlight Blue Metallic,Nougat Brown / Black,2018 Audi Q5 2.0T Premium Plus SUV,2018.0,Audi,46750.0,414-543-3000,INTERNATIONAL AUTOS GROUP,6508.0,Utopia Blue Metallic,Black
3936,WA1LAAF75JD001766,WA1BNAFY0J2053178,2018 Audi Q7 3.0T Premium,2018,Audi,,(414) 375-2115,Audi North Shore,5179.0,Orca Black Metallic,Black,2018 Audi Q5 2.0T Premium Plus SUV,2018.0,Audi,46750.0,414-543-3000,INTERNATIONAL AUTOS GROUP,6508.0,Utopia Blue Metallic,Black
4246,WAUBGAFL0DA200692,WAUBGAFL0DA200692,2013 Audi S4 3.0T Premium Plus,2013,Audi,23329.0,(262) 558-4486,Toyota of Brookfield,65950.0,Phantom Black Pearl,Black,2013 Audi S4 3.0T Premium Plus Sedan quattro,2013.0,Audi,23329.0,414-691-0603,Jack Safro Toyota,65950.0,Phantom black pearl,BLACK
4535,4JGDA5HB3FA529524,4JGDA5HB2FA475455,2015 Mercedes-Benz  ML 350,2015,Mercedes-Benz,33737.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,30549.0,Polar White,Black,2015 Mercedes-Benz M-Class ML 350 4MATIC SUV All-wheel Drive,2015.0,Mercedes-Benz,34999.0,,Billion Toyota of Clinton,28771.0,Silver,BLACK
