_id,ltable_vin,rtable_vin,ltable_name,ltable_year,ltable_maker,ltable_price,ltable_seller_phone,ltable_seller_name,ltable_miles,ltable_exterior_color,ltable_interior_color,rtable_name,rtable_year,rtable_maker,rtable_price,rtable_seller_phone,rtable_seller_name,rtable_miles,rtable_exterior_color,rtable_interior_color,label
65,JTHCM1D26G5004827,JTHCM1D26G5004827,2016 Lexus IS 300 Base,2016,Lexus,34800.0,(888) 694-7192,Jacobson Auto Sales,9312.0,Ultra White,Rioja Red w/Silver Performance Trim,2016 Lexus IS 300 AWD F Sport Sedan,2016.0,Lexus,34800.0,920-235-3040,Jacobson Auto Sales Inc,9312.0,Ultra White,Rioja Red w/Silver Performance Trim,1
377,WDDZF4KB9HA023218,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,56499.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,4499.0,Black,Macchiato Beige,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK,0
378,WDDZF4KB3HA135206,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55499.0,(888) 821-6594,Mercedes-Benz of Milwaukee North,4163.0,Selenite Grey Metallic,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK,0
379,WDDZF4KB7HA213910,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55443.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,4383.0,Black,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK,1
380,WDDZF4KBXHA203839,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55085.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,4320.0,Selenite Grey Metallic,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK,0
384,WDDZF4KB5HA229121,WDDZF4KB7HA213910,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,56892.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,5044.0,Selenite Grey Metallic,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,55443.0,877-650-2166,Umansky Motor Cars,4383.0,Black,BLACK,0
928,JTJBARBZXF2002726,JTJBARBZ4F2032529,2015 Lexus NX 200t,2015,Lexus,28500.0,(608) 478-2660,Lexus of Madison,43837.0,Eminent White Pearl,Cream,2015 LEXUS NX 200t,2015.0,Lexus,30000.0,888-462-0997 888-889-7155,Jack Safro's Lexus of Brookfield,43599.0,Atomic Silver,BLACK,0
951,WDCGG0EB0EG239366,WDCGG0EB0EG239366,2014 Mercedes-Benz  GLK250 BlueTEC,2014,Mercedes-Benz,23525.0,(888) 813-5078,Buss Ford Lincoln,67764.0,Blue,,2014 Mercedes-Benz GLK-Class GLK 250 BlueTEC AWD,2014.0,Mercedes-Benz,23525.0,888-660-4137 888-813-5078,Buss Ford Lincoln,67764.0,Blue,,1
1106,WBA3C3G52ENS71785,WBA3B3C59EJ981119,2014 BMW 320 i xDrive,2014,BMW,21998.0,(414) 214-9772,CarMax Metro Parc,24056.0,Black,Black,2014 BMW 3 Series 328i xDrive AWD,2014.0,BMW,21777.0,888-570-6761 888-570-6837,Motorwerks of Barrington,24923.0,Jet Black,Venetian Beige,0
1146,5UXWX9C55D0D05230,5UXWX9C55D0D05230,2013 BMW X3 xDrive28i,2013,BMW,27900.0,(815) 402-3517,Galena Chrysler,39811.0,Silver,Black / Light Graystone,2013 BMW X3 Xdrive28I WAGON,2013.0,BMW,27900.0,888-678-9662 888-713-6429,Galena Chrysler,39811.0,Silver,BLACK/LIGHT GRAYSTONE,1
1165,JTHBK1EG9C2512006,JTHBK1EG9C2512006,2012 Lexus ES 350,2012,Lexus,16995.0,(262) 510-2733,Reina International,75558.0,Obsidian Black,Parchment,2012 Lexus ES 350,2012.0,Lexus,16995.0,(262) 781-3336,Reina International,75558.0,Obsidian,Parchment,1
1552,WDDZF4KB0HA128696,WDDZF4KB9HA023218,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55876.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,5287.0,Polar White,beige,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,56499.0,877-650-2166,Umansky Motor Cars,4499.0,Black,MACCHIATO BEIGE,0
1556,WDDZF4KB0HA206992,WDDZF4KB9HA023218,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,57781.0,(888) 821-6594,Mercedes-Benz of Milwaukee North,4387.0,Obsidian Black Metallic,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,56499.0,877-650-2166,Umansky Motor Cars,4499.0,Black,MACCHIATO BEIGE,0
1560,WDDZF4KB7HA213910,WDDZF4KB9HA023218,2017 Mercedes-Benz  E 300,2017,Mercedes-Benz,55443.0,(888) 821-5863,Mercedes-Benz of Milwaukee North,4383.0,Black,Black,2017 Mercedes-Benz E-Class E 300 Sedan,2017.0,Mercedes-Benz,56499.0,877-650-2166,Umansky Motor Cars,4499.0,Black,MACCHIATO BEIGE,0
1764,WA1LFAFP1FA081884,WAUFFAFL1FN014384,2015 Audi Q5 2.0T Premium Plus quattro,2015,Audi,,(414) 375-2115,Audi North Shore,30000.0,Monsoon Gray,,2015 Audi A4 2.0T Premium (Tiptronic) Sedan,2015.0,Audi,25967.0,414-543-3000,INTERNATIONAL AUTOS GROUP,31880.0,Moonlight blue metallic,Titanium gray / Steel gray,0
2453,4JGDA5HB8FA459261,WDDHF8JB7FB135298,2015 Mercedes-Benz  ML 350,2015,Mercedes-Benz,31989.0,(608) 338-1462,Zimbrick Hyundai Eastside,39394.0,Polar White,Almond Beige/Mocha,2015 Mercedes-Benz E-Class E 350 4MATIC,2015.0,Mercedes-Benz,32493.0,888-570-6761 888-570-6837,Motorwerks of Barrington,40815.0,Gray,Black,0
2478,JTJBARBZ0F2034892,JTJBARBZ0F2034892,2015 Lexus NX 200t 200T,2015,Lexus,33507.0,(262) 510-0474,Lexus of Brookfield,28971.0,Blue,Brown,2015 LEXUS NX 200t,2015.0,Lexus,33507.0,888-462-0997 888-889-7155,Jack Safro's Lexus of Brookfield,28971.0,Meteor,FLAXEN SYN LTH,1
3006,WBAKP9C5XFD693920,WBAKP9C5XFD693920,2015 BMW 550 i xDrive,2015,BMW,43885.0,(414) 930-1684,International Autos,27837.0,Space Gray Metallic,Venetian Beige,2015 BMW 550i xDrive Sedan,2015.0,BMW,43885.0,,International Alfa Romeo,27837.0,Space Gray Metallic,Venetian Beige,1
3041,JTHCE1BLXE5026724,JTHCE1BLXE5026724,2014 Lexus GS 350 Base,2014,Lexus,28597.0,(866) 413-8566,Gordie Boucher Lincoln of West Allis,34416.0,Starfire Pearl,Black,2014 LEXUS GS 350 Sedan V-6 cyl,2014.0,Lexus,28597.0,888-450-6819,Gordie Boucher Lincoln West Allis,34416.0,Starfire Pearl,BLACK,1
3092,4JGDF7CE9DA148238,4JGDF7CE9DA148238,2013 Mercedes-Benz  GL 450 4MATIC,2013,Mercedes-Benz,27995.0,(608) 729-3822,Schoepp Motors West,93653.0,Lunar Blue Metallic,,2013 Mercedes-Benz GL-Class GL 450,2013.0,Mercedes-Benz,27995.0,,Schoepp Motors West,93653.0,Lunar Blue Metallic,,1
3304,2T2BK1BA7FC297440,JTHCE1BLXFA002397,2015 Lexus RX 350 Base,2015,Lexus,31989.0,(815) 580-3162,Wheels by RT,27988.0,Stargazer Black,Saddle,2015 Lexus GS 350,2015.0,Lexus,32950.0,877-510-3625 877-545-4105,Lexus of Madison,27890.0,NEBULA GRAY PEARL,FLAXEN,0
3413,WUAVNAFG2F7001607,WUAVNAFG2F7001607,2015 Audi R8 V10,2015,Audi,129989.0,(920) 541-2495,Kearns Motor Car Co.,10918.0,Black,Black,2015 Audi R8 5.2,2015.0,Audi,129989.0,920-674-6777,Kearns Motor Car,10918.0,Mythos Black Metallic/Black Roof,Black,1
3588,WAUENCF59JA021532,WA1BNAFY0J2022092,2018 Audi A5 2.0T Premium Plus quattro,2018,Audi,45867.0,(414) 375-2104,Audi North Shore,5959.0,Moonlight Blue Metallic,Nougat Brown / Black,2018 Audi Q5 2.0T Premium SUV,2018.0,Audi,46967.0,414-543-3000,INTERNATIONAL AUTOS GROUP,5780.0,Manhattan gray metallic,Black,0
3603,WA1BNAFY0J2022092,WA1BNAFY0J2022092,2018 Audi Q5 2.0T Premium,2018,Audi,46967.0,(414) 375-2104,Audi North Shore,5780.0,Manhattan Gray Metallic,Black,2018 Audi Q5 2.0T Premium SUV,2018.0,Audi,46967.0,414-543-3000,INTERNATIONAL AUTOS GROUP,5780.0,Manhattan gray metallic,Black,1
3645,WA1LAAF75JD001766,WA1BNAFY0J2022092,2018 Audi Q7 3.0T Premium,2018,Audi,,(414) 375-2115,Audi North Shore,5179.0,Orca Black Metallic,Black,2018 Audi Q5 2.0T Premium SUV,2018.0,Audi,46967.0,414-543-3000,INTERNATIONAL AUTOS GROUP,5780.0,Manhattan gray metallic,Black,0
3806,2T2BK1BA5DC187029,JTJBC1BA1D2451120,2013 Lexus RX 350 Base,2013,Lexus,24500.0,(608) 478-2657,Lexus of Madison,68191.0,Satin Cashmere Metallic,Parchment,2013 LEXUS RX 450h Base SUV,2013.0,Lexus,23500.0,888-582-4889,Wilde Honda New & Used Cars,69988.0,Starfire Pearl,,0
4470,WDC0G4KB3JV043408,WDDZF4KB2JA356642,2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,,(414) 203-5342,International Autos,0.0,Polar White,Silk Beige,2018 Mercedes-Benz E-Class E 300,2018.0,Mercedes-Benz,59673.0,847-381-8900,Motor Werks Honda,890.0,Black,Nut Brown / Black,0
4476,WDDZF4KB8JA385174,WDDZF4KB2JA356642,2018 Mercedes-Benz  E 300,2018,Mercedes-Benz,,(414) 203-5342,International Autos,0.0,Black,Black,2018 Mercedes-Benz E-Class E 300,2018.0,Mercedes-Benz,59673.0,847-381-8900,Motor Werks Honda,890.0,Black,Nut Brown / Black,0
4478,WDC0G4KB7JV037353,WDDZF4KB2JA356642,2018 Mercedes-Benz GLC 300 Base 4MATIC,2018,Mercedes-Benz,,(414) 203-5342,International Autos,0.0,Lunar Blue Metallic,Silk Beige,2018 Mercedes-Benz E-Class E 300,2018.0,Mercedes-Benz,59673.0,847-381-8900,Motor Werks Honda,890.0,Black,Nut Brown / Black,0
