name_x,year_x,brand,color,price_x,seller_name,seller_phone,seller_average_rating,seller_review_count,miles_x,distance_from_Madison,Exterior Color_x,Interior Color_x,Transmission_x,Drivetrain_x,VIN,id_x,name_y,make,model,year_y,price_y,miles_y,Exterior Color_y,Interior Color_y,Seller Name,Seller Phone,Transmission_y,Drivetrain_y,id_y
2010 Mercedes-Benz  GL 450 4MATIC,2010,Mercedes-Benz,Black,15614.0,Kayser Ford Lincoln,(608) 807-5359,4.7,399.0,107545.0,2,Black,Cashmere,7-Speed Automatic,AWD,4JGBF7BEXAA543808,0,2010 Mercedes-Benz GL-Class GL450 4MATIC SUV,Mercedes-Benz,GL-Class,2010.0,15614.0,107545.0,Black,CASHMERE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive,1715
2015 Mercedes-Benz  ML 350,2015,Mercedes-Benz,Gray,29998.0,CarMax Madison,(608) 286-3923,4.3,3.0,36642.0,5,Gray,Black,7-Speed Automatic w/OD,AWD,4JGDA5HB7FA445741,1,2015 Mercedes-Benz ML350,Mercedes-Benz,M-Class,2015.0,29998.0,37000.0,Gray,Black,Carmax Madison,608-286-3969,Automatic,All Wheel Drive,1770
2013 Mercedes-Benz  E 350 4MATIC,2013,Mercedes-Benz,Black,16500.0,Lexus of Madison,(608) 478-2660,5.0,68.0,80614.0,6,Black,Black,7-Speed Automatic,AWD,WDDHF8JB7DA667069,2,2013 Mercedes-Benz E-Class,Mercedes-Benz,E-Class,2013.0,16500.0,80614.0,Black,Black,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive,1758
2015 Mercedes-Benz  C 300,2015,Mercedes-Benz,Black,26988.0,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303.0,30090.0,7,Black,Black,7-Speed A/T,All Wheel Drive,55SWF4KB2FU026106,3,2015 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,Mercedes-Benz,C-Class,2015.0,26988.0,30091.0,Black,Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,1743
2015 Mercedes-Benz  SLK 250,2015,Mercedes-Benz,Black,29988.0,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303.0,25344.0,7,Black,Sahara Beige,7-Speed A/T,Rear Wheel Drive,WDDPK4HA2FF108712,4,2015 Mercedes-Benz SLK-Class 2dr Roadster SLK 250,Mercedes-Benz,SLK-Class,2015.0,29988.0,25344.0,Black,Sahara Beige,Zimbrick Inc,608-620-7188,Manual,Rear Wheel Drive,1744
2015 Mercedes-Benz  E 350 4MATIC,2015,Mercedes-Benz,Silver,29855.0,Kayser Chrysler Center Watertown,(920) 545-2133,5.0,124.0,35199.0,35,Silver,Gray / Dark Gray,7-Speed Automatic,AWD,WDDHF8JB4FB086738,6,2015 Mercedes-Benz E-Class E 350 4MATIC Sedan,Mercedes-Benz,E-Class,2015.0,29855.0,35199.0,Silver,GRAY/DARK GRAY,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive,1716
2015 Mercedes-Benz  GL 350 BlueTEC 4MATIC,2015,Mercedes-Benz,Orange,43977.0,Kunes Country Chevrolet Cadillac of Delavan,(262) 586-4283,4.7,720.0,39027.0,49,Burnt Orange,Black,7-Speed Automatic,AWD,4JGDF2EEXFA490266,8,2015 Mercedes-Benz GL-Class GL 350 BlueTEC,Mercedes-Benz,GL-Class,2015.0,43977.0,39027.0,,,Kunes Country Ford Lincoln Inc.,(888) 440-2312,Automatic,All Wheel Drive,1792
2008 Mercedes-Benz  E 350 4MATIC,2008,Mercedes-Benz,White,8500.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,148268.0,55,White,,5-Speed Automatic,AWD,WDBUF87X28B291147,9,2008 Mercedes-Benz E-Class Base Sedan,Mercedes-Benz,E-Class,2008.0,8500.0,148268.0,Arctic White,,"Napleton's Autowerks, Inc.",877-441-8782,Automatic,All Wheel Drive,1806
2007 Mercedes-Benz  R 350 4MATIC,2007,Mercedes-Benz,Other,10995.0,Napleton Autowerks Loves Park,(815) 916-4212,4.9,522.0,122845.0,55,,,7-Speed Automatic,AWD,4JGCB65E07A047267,11,2007 Mercedes-Benz R-Class Base SUV,Mercedes-Benz,R-Class,2007.0,10995.0,122845.0,,,"Napleton's Autowerks, Inc.",877-441-8782,Automatic,All Wheel Drive,1801
2013 Mercedes-Benz  C 300 Sport 4MATIC,2013,Mercedes-Benz,Silver,18500.0,Napleton Autowerks Loves Park,(855) 789-0937,4.9,522.0,46932.0,55,Silver,,7-Speed Automatic,AWD,WDDGF8AB7DR287131,14,2013 Mercedes-Benz C-Class C 300 4MATIC Sedan,Mercedes-Benz,C-Class,2013.0,18500.0,46932.0,Silver,,"Napleton's Autowerks, Inc.",877-441-8782,Automatic,All Wheel Drive,1808
2014 Mercedes-Benz  GL 450 4MATIC,2014,Mercedes-Benz,Black,33424.0,Boucher Hyundai,(866) 508-6541,4.9,881.0,54577.0,60,Black,Black,7-Speed Automatic,AWD,4JGDF7CE1EA403577,15,Used 2014 Mercedes-Benz GL-Class GL 450,Mercedes-Benz,GL-Class,2014.0,33424.0,54577.0,Black,Black,Boucher Hyundai,888-383-3649 866-508-6541,Automatic,All Wheel Drive,1852
2013 Mercedes-Benz  C 300 4MATIC,2013,Mercedes-Benz,Black,16645.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,62917.0,61,Black,Black,7-Speed Automatic,AWD,WDDGF8AB6DR287461,21,2013 Mercedes-Benz C-Class C 300,Mercedes-Benz,C-Class,2013.0,16645.0,62917.0,Black,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,1863
2015 Mercedes-Benz  ML 350 4MATIC,2015,Mercedes-Benz,White,31681.0,Mercedes-Benz of Elmbrook,(262) 510-2426,4.5,39.0,35346.0,61,Polar White,Black,7-Speed Automatic,AWD,4JGDA5HB6FA511177,22,2015 Mercedes-Benz M-Class ML 350,Mercedes-Benz,M-Class,2015.0,31681.0,35346.0,Polar White,Black,International Autos,414-543-3000,Automatic,All Wheel Drive,1868
2015 Mercedes-Benz  GLA 250,2015,Mercedes-Benz,Gray,26522.0,Mercedes-Benz of Elmbrook,(262) 510-0488,4.5,39.0,30381.0,61,Mountain Gray Metallic,Black,7-Speed Automatic with Auto-Shift,AWD,WDCTG4GB8FJ067563,23,2015 Mercedes-Benz GLA GLA 250,Mercedes-Benz,GLA-Class,2015.0,26522.0,30381.0,Mountain Gray Metallic,Black,International Autos,414-543-3000,Automated Manual,All Wheel Drive,1870
2014 Mercedes-Benz  CLA250,2014,Mercedes-Benz,Silver,22998.0,CarMax Waukesha,(262) 207-2339,,,31428.0,61,Silver,Black,7-Speed Auto-Shift Manual w/OD,FWD,WDDSJ4EB8EN067839,30,2014 Mercedes-Benz CLA250,Mercedes-Benz,CLA-Class,2014.0,22998.0,32000.0,Silver,Black,Carmax Waukesha,262-207-6249,Automated Manual,Front Wheel Drive,1891
2011 Mercedes-Benz  C 300 Sport,2011,Mercedes-Benz,White,10998.0,Heiser Toyota,(414) 375-4859,4.8,823.0,81185.0,67,Arctic White,Black,Automatic 7-Speed,All Wheel Drive,WDDGF8BB9BR164667,31,2011 Mercedes-Benz C-Class Sport,Mercedes-Benz,C-Class,2011.0,10998.0,81185.0,Arctic White,Black,Heiser Chevrolet Cadillac of West Bend,888-417-1323 866-752-7864,Automatic,All Wheel Drive,1930
2014 Mercedes-Benz  E 350 4MATIC,2014,Mercedes-Benz,Silver,19990.0,Boucher Volkswagen Marketplace of Franklin,(866) 571-8206,5.0,58.0,77403.0,68,Iridium Silver Metallic,Black,7-Speed Automatic,AWD,WDDHF8JB6EA921596,32,2014 Mercedes-Benz E 350 E350 4Matic,Mercedes-Benz,E-Class,2014.0,29995.0,77403.0,Iridium Silver Metallic,Black w/MB-Tex Upholstery,Boucher Volkswagen of Franklin,866-301-0104 866-571-8206,Automatic,All Wheel Drive,1955
