name_x,brand,color,price_x,seller_name,seller_phone,seller_average_rating,seller_review_count,miles_x,distance_from_Madison,Exterior Color_x,Interior Color_x,Transmission_x,Drivetrain_x,VIN,id_x,name_y,year,price_y,miles_y,Exterior Color_y,Interior Color_y,Seller Name,Seller Phone,Transmission_y,Drivetrain_y,id_y
2010 Mercedes-Benz  GL 450 4MATIC,Mercedes-Benz,Black,15998.0,Kayser Ford Lincoln,(608) 807-5359,4.7,399.0,107545.0,2,Black,Cashmere,7-Speed Automatic,AWD,4JGBF7BEXAA543808,0,2010 Mercedes-Benz GL-Class GL450 4MATIC SUV,2010,15998.0,107545.0,Black,CASHMERE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive,755
2010 Mercedes-Benz  GL 450 4MATIC,Mercedes-Benz,Black,15998.0,Kayser Ford Lincoln,(608) 807-5359,4.7,399.0,107545.0,2,Black,Cashmere,7-Speed Automatic,AWD,4JGBF7BEXAA543808,0,2010 Mercedes-Benz GL-Class GL450 4MATIC SUV,2010,15998.0,107545.0,Black,CASHMERE,Kayser Automotive Group,888-276-6308 888-276-9145,Automatic,All Wheel Drive,1080
2013 Mercedes-Benz  E 350 4MATIC,Mercedes-Benz,Black,16500.0,Lexus of Madison,(608) 478-2660,5.0,68.0,80614.0,6,Black,Black,7-Speed Automatic,AWD,WDDHF8JB7DA667069,2,2013 Mercedes-Benz E-Class,2013,16500.0,80614.0,Black,Black,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive,797
2013 Mercedes-Benz  E 350 4MATIC,Mercedes-Benz,Black,16500.0,Lexus of Madison,(608) 478-2660,5.0,68.0,80614.0,6,Black,Black,7-Speed Automatic,AWD,WDDHF8JB7DA667069,2,2013 Mercedes-Benz E-Class,2013,16500.0,80614.0,Black,Black,Lexus of Madison,877-510-3625 877-545-4105,Automatic,All Wheel Drive,1122
2015 Mercedes-Benz  C 300,Mercedes-Benz,Black,26988.0,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303.0,30090.0,7,Black,Black,7-Speed A/T,All Wheel Drive,55SWF4KB2FU026106,3,2015 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,2015,26988.0,30091.0,Black,Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,784
2015 Mercedes-Benz  C 300,Mercedes-Benz,Black,26988.0,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303.0,30090.0,7,Black,Black,7-Speed A/T,All Wheel Drive,55SWF4KB2FU026106,3,2015 Mercedes-Benz C-Class 4dr Sdn C 300 4MATIC,2015,26988.0,30091.0,Black,Black,Zimbrick Inc,608-620-7188,Automatic,All Wheel Drive,1109
2015 Mercedes-Benz  SLK 250,Mercedes-Benz,Black,29988.0,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303.0,25344.0,7,Black,Sahara Beige,7-Speed A/T,Rear Wheel Drive,WDDPK4HA2FF108712,4,2015 Mercedes-Benz SLK-Class 2dr Roadster SLK 250,2015,29988.0,25344.0,Black,Sahara Beige,Zimbrick Inc,608-620-7188,Manual,Rear Wheel Drive,786
2015 Mercedes-Benz  SLK 250,Mercedes-Benz,Black,29988.0,Zimbrick Hyundai Eastside,(608) 338-1462,4.9,303.0,25344.0,7,Black,Sahara Beige,7-Speed A/T,Rear Wheel Drive,WDDPK4HA2FF108712,4,2015 Mercedes-Benz SLK-Class 2dr Roadster SLK 250,2015,29988.0,25344.0,Black,Sahara Beige,Zimbrick Inc,608-620-7188,Manual,Rear Wheel Drive,1111
2015 Mercedes-Benz  GL 350 BlueTEC 4MATIC,Mercedes-Benz,Orange,43977.0,Kunes Country Chevrolet Cadillac of Delavan,(262) 586-4283,4.7,720.0,39027.0,49,Burnt Orange,Black,7-Speed Automatic,AWD,4JGDF2EEXFA490266,7,2015 Mercedes-Benz GL 350 BlueTEC,2015,43977.0,39027.0,Burnt Orange,Black,Kunes Country Ford Lincoln,888-446-6028 888-439-7059,Automatic,All Wheel Drive,826
2015 Mercedes-Benz  GL 350 BlueTEC 4MATIC,Mercedes-Benz,Orange,43977.0,Kunes Country Chevrolet Cadillac of Delavan,(262) 586-4283,4.7,720.0,39027.0,49,Burnt Orange,Black,7-Speed Automatic,AWD,4JGDF2EEXFA490266,7,2015 Mercedes-Benz GL 350 BlueTEC,2015,43977.0,39027.0,Burnt Orange,Black,Kunes Country Ford Lincoln,888-446-6028 888-439-7059,Automatic,All Wheel Drive,1151
